frame,native_on,rt_on,iou,rt_only_frac,native_only_frac
1,231390,200894,0.8627230459643815,0.003389847382201559,0.134737888413501
2,167332,157874,0.9233285034154419,0.01110379163130091,0.06699854182105036
3,168128,160041,0.9371745983023033,0.007985453727482333,0.05570160829843929
4,177824,171067,0.9529303106633081,0.004828517481454635,0.042643287745186255
5,241410,196910,0.8153655001035411,0.00020313848966532934,0.1844993993620811
6,174995,168328,0.9473573754126442,0.007764602442849674,0.04556701620046287
7,162817,151775,0.9165260406830463,0.008762971503870861,0.07598715121885306
8,157537,143502,0.8960339604340788,0.008613120374628925,0.0969359579019532
9,184384,137948,0.7480991376972721,4.349465015803056e-05,0.251876518569941
10,159284,121839,0.7540259432343563,0.008117269511404394,0.24129228296627409
11,126402,108674,0.8467170487218565,0.008208035040580083,0.14730779576272526
12,123362,110334,0.875720362789951,0.01112984211575761,0.11556232875601886
13,145289,129753,0.8926384167572701,0.00025432937966752216,0.10715883514925424
14,145476,125719,0.8513120528643985,0.008049698136319889,0.14276581704198632
15,107795,104809,0.9529141597391264,0.010209046932992396,0.03762697713252006
16,71120,65041,0.8741534988713319,0.023554373395243,0.10701631046119235
17,20101,17189,0.7315193164933135,0.08348362324742568,0.21625789761703398
18,11208,7782,0.577766699900299,0.1063993831919815,0.37955032119914345
19,179747,162694,0.8940844603003402,0.006441540560807406,0.10070265428630241
20,170155,154073,0.8976126793124235,0.004582243481985812,0.09866298375011019
21,168433,150654,0.8805775747753057,0.008244055916205344,0.1129291765865359
22,231889,186555,0.8045012915662235,0.0,0.1954987084337765
23,198971,172874,0.8563939991512943,0.007716602843689624,0.1378643118846465
24,165875,153197,0.9109998442796737,0.007121549377598778,0.08300828937452902
25,165135,150841,0.8984264694396212,0.008658123454498446,0.09446816241257153
26,194886,168604,0.8638696742368692,0.0007888306327252022,0.1355407776854161
27,184899,100781,0.5386604045931448,0.007630406525039442,0.45909929204592775
28,133136,109814,0.8112214468897239,0.009106307028247764,0.18268537435404397
29,129272,119119,0.9094221559417928,0.006841897598200119,0.08484435918064237
30,130428,111974,0.8540909751489609,0.0027774304749316804,0.1438724813690312
31,178837,108090,0.6013427912869254,0.003164029975020816,0.3975072272516314
32,113109,98473,0.8493313521545319,0.013211743320504097,0.14089948633618898
33,109171,101355,0.9065239440701297,0.012362488283755118,0.08307151166518581
34,101121,90952,0.874138906777511,0.015007916263523617,0.11406137201965962
35,22072,17264,0.7592915604454582,0.0166241890639481,0.23083544762595143
36,12265,10237,0.5552944429084877,0.21519976555631531,0.3449653485527925
37,126651,112563,0.8649546262512864,0.014365288771621226,0.12400217921690314
38,169447,160692,0.9321741267908981,0.008818111667040052,0.06003057003074708
39,200007,182790,0.8998029708228077,0.008129547568247715,0.09351172708955187
40,228600,155680,0.6728336482121557,0.007181397738951696,0.32387576552930886
41,166935,154682,0.9130545988805415,0.007641483818414554,0.08048042651331357
42,166392,157306,0.926532992899697,0.01035561262761751,0.06439612481369296
43,176460,169227,0.9403721478487833,0.010016132177489407,0.050595035702142126
44,235026,193155,0.8185876226921558,0.002179596696953224,0.17994604852229115
45,140782,127332,0.8910298909593601,0.00785348537681023,0.1026409626230626
46,133764,123149,0.9052467648040342,0.008777984392889914,0.0874375766274932
47,131243,118075,0.8841337615718874,0.009163667160702943,0.10857721935646092
48,168513,144529,0.8565599535032679,0.0006988216897646839,0.1429266584773875
49,145784,120915,0.821179571573923,0.005450109581110698,0.17510837952038633
50,113473,108162,0.9403540411822384,0.006943288770547882,0.05342240004230081
51,109186,104402,0.9379213355713832,0.009856133024271565,0.0532394263000751
52,130070,122147,0.9375374498747829,0.0008514331092863517,0.06171292381025602
53,23876,20697,0.692924152075658,0.11851959221143162,0.23588540794102864
54,11527,9937,0.5643174695721886,0.22079098319412296,0.32827275093259306
55,7578,5470,0.44608223429014743,0.26416819012797077,0.46885721826339405
56,4225,3223,0.3633534687900421,0.3841141793360223,0.5301775147928994
57,154620,172657,0.7732824013870828,0.17340739153350285,0.07698227913594619
58,2612,2725,0.6916006339144215,0.19926605504587155,0.16462480857580397
59,14138,17564,0.7002037970610319,0.25666135276702345,0.07653133399349271
60,20903,24548,0.7454971389070241,0.2092227472706534,0.07132947423814763
61,13701,14618,0.8352018663728857,0.11834724312491449,0.05933873439894898
62,219412,220510,0.9844643026303325,0.010298852659743321,0.005346106867445718
63,184915,186315,0.9821133002295904,0.012747229154925798,0.0052726928588811076
64,184984,185408,0.9840161124442921,0.009190541939937867,0.006919517363663885
65,224814,222451,0.9885868502018531,0.0004585279454801282,0.010964619641125552
66,232730,229484,0.973468708104554,0.006466681773021213,0.020323980578352597
67,173175,173237,0.9743075344807933,0.013190022916582484,0.012836725855348636
68,165186,165810,0.9781977265392476,0.012882214582956396,0.009153318077803204
69,163840,164769,0.984737388867414,0.010487409646231998,0.004876708984375
70,28264,27130,0.9422180147961151,0.009472908219683008,0.049214548542315315
71,224258,229321,0.9771889139778385,0.02244888169857972,0.000379027726993017
72,217387,228371,0.9515182824320538,0.04829422299679031,0.00020700409868115388
73,217441,231443,0.9395013026965603,0.06049869730343972,0.0
