lane,variant,truth,storage_codec,model_codec,pred,n
dino,-10,5G_Downlink,bfp8,bfp12,16QAM,1
dino,-10,5G_Downlink,bfp8,bfp12,5G_Downlink,14
dino,-10,5G_Downlink,bfp8,bfp12,802_11ax,6
dino,-10,5G_Downlink,bfp8,bfp12,NOISE,7
dino,-10,5G_Downlink,bfp8,bfp12,OFDM,17
dino,-10,5G_Downlink,bfp8,bfp8,5G_Downlink,18
dino,-10,5G_Downlink,bfp8,bfp8,802_11ax,7
dino,-10,5G_Downlink,bfp8,bfp8,NOISE,6
dino,-10,5G_Downlink,bfp8,bfp8,OFDM,14
dino,-10,5G_Downlink,bfp8,none,5G_Downlink,16
dino,-10,5G_Downlink,bfp8,none,802_11ax,7
dino,-10,5G_Downlink,bfp8,none,BPSK,1
dino,-10,5G_Downlink,bfp8,none,NOISE,5
dino,-10,5G_Downlink,bfp8,none,OFDM,16
dino,-10,5G_Downlink,bfp8,sc16,5G_Downlink,15
dino,-10,5G_Downlink,bfp8,sc16,802_11ax,5
dino,-10,5G_Downlink,bfp8,sc16,NOISE,6
dino,-10,5G_Downlink,bfp8,sc16,OFDM,19
dino,-10,5G_Downlink,none,bfp12,16QAM,1
dino,-10,5G_Downlink,none,bfp12,5G_Downlink,15
dino,-10,5G_Downlink,none,bfp12,802_11ax,6
dino,-10,5G_Downlink,none,bfp12,NOISE,7
dino,-10,5G_Downlink,none,bfp12,OFDM,16
dino,-10,5G_Downlink,none,bfp8,5G_Downlink,18
dino,-10,5G_Downlink,none,bfp8,802_11ax,7
dino,-10,5G_Downlink,none,bfp8,NOISE,6
dino,-10,5G_Downlink,none,bfp8,OFDM,14
dino,-10,5G_Downlink,none,none,5G_Downlink,16
dino,-10,5G_Downlink,none,none,802_11ax,7
dino,-10,5G_Downlink,none,none,Broadband_FM,1
dino,-10,5G_Downlink,none,none,NOISE,6
dino,-10,5G_Downlink,none,none,OFDM,15
dino,-10,5G_Downlink,none,sc16,5G_Downlink,15
dino,-10,5G_Downlink,none,sc16,802_11ax,5
dino,-10,5G_Downlink,none,sc16,NOISE,6
dino,-10,5G_Downlink,none,sc16,OFDM,19
dino,-10,5G_Downlink,sc16,bfp12,16QAM,1
dino,-10,5G_Downlink,sc16,bfp12,5G_Downlink,15
dino,-10,5G_Downlink,sc16,bfp12,802_11ax,6
dino,-10,5G_Downlink,sc16,bfp12,NOISE,7
dino,-10,5G_Downlink,sc16,bfp12,OFDM,16
dino,-10,5G_Downlink,sc16,bfp8,5G_Downlink,18
dino,-10,5G_Downlink,sc16,bfp8,802_11ax,7
dino,-10,5G_Downlink,sc16,bfp8,NOISE,6
dino,-10,5G_Downlink,sc16,bfp8,OFDM,14
dino,-10,5G_Downlink,sc16,none,5G_Downlink,16
dino,-10,5G_Downlink,sc16,none,802_11ax,7
dino,-10,5G_Downlink,sc16,none,Broadband_FM,1
dino,-10,5G_Downlink,sc16,none,NOISE,6
dino,-10,5G_Downlink,sc16,none,OFDM,15
dino,-10,5G_Downlink,sc16,sc16,5G_Downlink,15
dino,-10,5G_Downlink,sc16,sc16,802_11ax,5
dino,-10,5G_Downlink,sc16,sc16,NOISE,6
dino,-10,5G_Downlink,sc16,sc16,OFDM,19
dino,-10,802_11ax,bfp12,bfp12,5G_Downlink,16
dino,-10,802_11ax,bfp12,bfp12,802_11ax,13
dino,-10,802_11ax,bfp12,bfp12,NOISE,6
dino,-10,802_11ax,bfp12,bfp12,OFDM,9
dino,-10,802_11ax,bfp12,bfp8,5G_Downlink,14
dino,-10,802_11ax,bfp12,bfp8,802_11ax,6
dino,-10,802_11ax,bfp12,bfp8,Broadband_FM,2
dino,-10,802_11ax,bfp12,bfp8,NOISE,9
dino,-10,802_11ax,bfp12,bfp8,OFDM,13
dino,-10,802_11ax,bfp12,none,5G_Downlink,16
dino,-10,802_11ax,bfp12,none,802_11ax,6
dino,-10,802_11ax,bfp12,none,Broadband_FM,2
dino,-10,802_11ax,bfp12,none,NOISE,8
dino,-10,802_11ax,bfp12,none,OFDM,12
dino,-10,802_11ax,bfp12,sc16,5G_Downlink,14
dino,-10,802_11ax,bfp12,sc16,802_11ax,5
dino,-10,802_11ax,bfp12,sc16,Broadband_FM,1
dino,-10,802_11ax,bfp12,sc16,NOISE,9
dino,-10,802_11ax,bfp12,sc16,OFDM,15
dino,-10,802_11ax,bfp8,bfp12,5G_Downlink,16
dino,-10,802_11ax,bfp8,bfp12,802_11ax,13
dino,-10,802_11ax,bfp8,bfp12,NOISE,6
dino,-10,802_11ax,bfp8,bfp12,OFDM,9
dino,-10,802_11ax,bfp8,bfp8,5G_Downlink,14
dino,-10,802_11ax,bfp8,bfp8,802_11ax,6
dino,-10,802_11ax,bfp8,bfp8,Broadband_FM,2
dino,-10,802_11ax,bfp8,bfp8,NOISE,9
dino,-10,802_11ax,bfp8,bfp8,OFDM,13
dino,-10,802_11ax,bfp8,none,5G_Downlink,16
dino,-10,802_11ax,bfp8,none,802_11ax,6
dino,-10,802_11ax,bfp8,none,Broadband_FM,2
dino,-10,802_11ax,bfp8,none,NOISE,8
dino,-10,802_11ax,bfp8,none,OFDM,12
dino,-10,802_11ax,bfp8,sc16,5G_Downlink,14
dino,-10,802_11ax,bfp8,sc16,802_11ax,5
dino,-10,802_11ax,bfp8,sc16,Broadband_FM,1
dino,-10,802_11ax,bfp8,sc16,NOISE,9
dino,-10,802_11ax,bfp8,sc16,OFDM,15
dino,-10,802_11ax,none,bfp12,5G_Downlink,16
dino,-10,802_11ax,none,bfp12,802_11ax,13
dino,-10,802_11ax,none,bfp12,NOISE,6
dino,-10,802_11ax,none,bfp12,OFDM,9
dino,-10,802_11ax,none,bfp8,5G_Downlink,14
dino,-10,802_11ax,none,bfp8,802_11ax,6
dino,-10,802_11ax,none,bfp8,Broadband_FM,2
dino,-10,802_11ax,none,bfp8,NOISE,9
dino,-10,802_11ax,none,bfp8,OFDM,13
dino,-10,802_11ax,none,none,5G_Downlink,16
dino,-10,802_11ax,none,none,802_11ax,6
dino,-10,802_11ax,none,none,Broadband_FM,2
dino,-10,802_11ax,none,none,NOISE,8
dino,-10,802_11ax,none,none,OFDM,12
dino,-10,802_11ax,none,sc16,5G_Downlink,14
dino,-10,802_11ax,none,sc16,802_11ax,5
dino,-10,802_11ax,none,sc16,Broadband_FM,1
dino,-10,802_11ax,none,sc16,NOISE,9
dino,-10,802_11ax,none,sc16,OFDM,15
dino,-10,802_11ax,sc16,bfp12,5G_Downlink,16
dino,-10,802_11ax,sc16,bfp12,802_11ax,13
dino,-10,802_11ax,sc16,bfp12,NOISE,6
dino,-10,802_11ax,sc16,bfp12,OFDM,9
dino,-10,802_11ax,sc16,bfp8,5G_Downlink,14
dino,-10,802_11ax,sc16,bfp8,802_11ax,6
dino,-10,802_11ax,sc16,bfp8,Broadband_FM,2
dino,-10,802_11ax,sc16,bfp8,NOISE,9
dino,-10,802_11ax,sc16,bfp8,OFDM,13
dino,-10,802_11ax,sc16,none,5G_Downlink,16
dino,-10,802_11ax,sc16,none,802_11ax,6
dino,-10,802_11ax,sc16,none,Broadband_FM,2
dino,-10,802_11ax,sc16,none,NOISE,8
dino,-10,802_11ax,sc16,none,OFDM,12
dino,-10,802_11ax,sc16,sc16,5G_Downlink,14
dino,-10,802_11ax,sc16,sc16,802_11ax,5
dino,-10,802_11ax,sc16,sc16,Broadband_FM,1
dino,-10,802_11ax,sc16,sc16,NOISE,9
dino,-10,802_11ax,sc16,sc16,OFDM,15
dino,-10,BPSK,bfp12,bfp12,5G_Downlink,17
dino,-10,BPSK,bfp12,bfp12,802_11ax,9
dino,-10,BPSK,bfp12,bfp12,Broadband_FM,1
dino,-10,BPSK,bfp12,bfp12,NOISE,10
dino,-10,BPSK,bfp12,bfp12,OFDM,19
dino,-10,BPSK,bfp12,bfp8,5G_Downlink,17
dino,-10,BPSK,bfp12,bfp8,802_11ax,9
dino,-10,BPSK,bfp12,bfp8,NOISE,12
dino,-10,BPSK,bfp12,bfp8,Narrowband_FM,1
dino,-10,BPSK,bfp12,bfp8,OFDM,17
dino,-10,BPSK,bfp12,none,5G_Downlink,18
dino,-10,BPSK,bfp12,none,802_11ax,9
dino,-10,BPSK,bfp12,none,NOISE,12
dino,-10,BPSK,bfp12,none,OFDM,17
dino,-10,BPSK,bfp12,sc16,5G_Downlink,15
dino,-10,BPSK,bfp12,sc16,802_11ax,12
dino,-10,BPSK,bfp12,sc16,NOISE,12
dino,-10,BPSK,bfp12,sc16,OFDM,17
dino,-10,BPSK,bfp8,bfp12,5G_Downlink,19
dino,-10,BPSK,bfp8,bfp12,802_11ax,9
dino,-10,BPSK,bfp8,bfp12,Broadband_FM,1
dino,-10,BPSK,bfp8,bfp12,NOISE,10
dino,-10,BPSK,bfp8,bfp12,OFDM,17
dino,-10,BPSK,bfp8,bfp8,5G_Downlink,17
dino,-10,BPSK,bfp8,bfp8,802_11ax,9
dino,-10,BPSK,bfp8,bfp8,NOISE,12
dino,-10,BPSK,bfp8,bfp8,Narrowband_FM,1
dino,-10,BPSK,bfp8,bfp8,OFDM,17
dino,-10,BPSK,bfp8,none,5G_Downlink,19
dino,-10,BPSK,bfp8,none,802_11ax,8
dino,-10,BPSK,bfp8,none,Broadband_FM,1
dino,-10,BPSK,bfp8,none,NOISE,11
dino,-10,BPSK,bfp8,none,OFDM,17
dino,-10,BPSK,bfp8,sc16,5G_Downlink,15
dino,-10,BPSK,bfp8,sc16,802_11ax,11
dino,-10,BPSK,bfp8,sc16,NOISE,12
dino,-10,BPSK,bfp8,sc16,OFDM,18
dino,-10,BPSK,none,bfp12,5G_Downlink,17
dino,-10,BPSK,none,bfp12,802_11ax,9
dino,-10,BPSK,none,bfp12,Broadband_FM,1
dino,-10,BPSK,none,bfp12,NOISE,10
dino,-10,BPSK,none,bfp12,OFDM,19
dino,-10,BPSK,none,bfp8,5G_Downlink,17
dino,-10,BPSK,none,bfp8,802_11ax,9
dino,-10,BPSK,none,bfp8,NOISE,12
dino,-10,BPSK,none,bfp8,Narrowband_FM,1
dino,-10,BPSK,none,bfp8,OFDM,17
dino,-10,BPSK,none,none,5G_Downlink,18
dino,-10,BPSK,none,none,802_11ax,9
dino,-10,BPSK,none,none,NOISE,12
dino,-10,BPSK,none,none,OFDM,17
dino,-10,BPSK,none,sc16,5G_Downlink,15
dino,-10,BPSK,none,sc16,802_11ax,12
dino,-10,BPSK,none,sc16,NOISE,12
dino,-10,BPSK,none,sc16,OFDM,17
dino,-10,BPSK,sc16,bfp12,5G_Downlink,17
dino,-10,BPSK,sc16,bfp12,802_11ax,9
dino,-10,BPSK,sc16,bfp12,Broadband_FM,1
dino,-10,BPSK,sc16,bfp12,NOISE,10
dino,-10,BPSK,sc16,bfp12,OFDM,19
