lane,variant,class,snr_bin,storage_codec,model_codec,n,correct
dino,-10,5G_Downlink,-20,bfp8,none,19,5
dino,-10,5G_Downlink,-20,bfp8,sc16,19,7
dino,-10,5G_Downlink,-20,none,bfp12,19,7
dino,-10,5G_Downlink,-20,none,bfp8,19,10
dino,-10,5G_Downlink,-20,none,none,19,5
dino,-10,5G_Downlink,-20,none,sc16,19,7
dino,-10,5G_Downlink,-20,sc16,bfp12,19,7
dino,-10,5G_Downlink,-20,sc16,bfp8,19,10
dino,-10,5G_Downlink,-20,sc16,none,19,5
dino,-10,5G_Downlink,-20,sc16,sc16,19,7
dino,-10,5G_Downlink,clean,bfp12,bfp12,1,0
dino,-10,5G_Downlink,clean,bfp12,bfp8,1,0
dino,-10,5G_Downlink,clean,bfp12,none,1,0
dino,-10,5G_Downlink,clean,bfp12,sc16,1,0
dino,-10,5G_Downlink,clean,bfp8,bfp12,1,0
dino,-10,5G_Downlink,clean,bfp8,bfp8,1,0
dino,-10,5G_Downlink,clean,bfp8,none,1,0
dino,-10,5G_Downlink,clean,bfp8,sc16,1,0
dino,-10,5G_Downlink,clean,none,bfp12,1,0
dino,-10,5G_Downlink,clean,none,bfp8,1,0
dino,-10,5G_Downlink,clean,none,none,1,0
dino,-10,5G_Downlink,clean,none,sc16,1,0
dino,-10,5G_Downlink,clean,sc16,bfp12,1,0
dino,-10,5G_Downlink,clean,sc16,bfp8,1,0
dino,-10,5G_Downlink,clean,sc16,none,1,0
dino,-10,5G_Downlink,clean,sc16,sc16,1,0
dino,-10,802_11ax,-15,bfp12,bfp12,3,1
dino,-10,802_11ax,-15,bfp12,bfp8,3,1
dino,-10,802_11ax,-15,bfp12,none,3,0
dino,-10,802_11ax,-15,bfp12,sc16,3,0
dino,-10,802_11ax,-15,bfp8,bfp12,3,1
dino,-10,802_11ax,-15,bfp8,bfp8,3,1
dino,-10,802_11ax,-15,bfp8,none,3,0
dino,-10,802_11ax,-15,bfp8,sc16,3,0
dino,-10,802_11ax,-15,none,bfp12,3,1
dino,-10,802_11ax,-15,none,bfp8,3,1
dino,-10,802_11ax,-15,none,none,3,0
dino,-10,802_11ax,-15,none,sc16,3,0
dino,-10,802_11ax,-15,sc16,bfp12,3,1
dino,-10,802_11ax,-15,sc16,bfp8,3,1
dino,-10,802_11ax,-15,sc16,none,3,0
dino,-10,802_11ax,-15,sc16,sc16,3,0
dino,-10,802_11ax,-20,bfp12,bfp12,41,12
dino,-10,802_11ax,-20,bfp12,bfp8,41,5
dino,-10,802_11ax,-20,bfp12,none,41,6
dino,-10,802_11ax,-20,bfp12,sc16,41,5
dino,-10,802_11ax,-20,bfp8,bfp12,41,12
dino,-10,802_11ax,-20,bfp8,bfp8,41,5
dino,-10,802_11ax,-20,bfp8,none,41,6
dino,-10,802_11ax,-20,bfp8,sc16,41,5
dino,-10,802_11ax,-20,none,bfp12,41,12
dino,-10,802_11ax,-20,none,bfp8,41,5
dino,-10,802_11ax,-20,none,none,41,6
dino,-10,802_11ax,-20,none,sc16,41,5
dino,-10,802_11ax,-20,sc16,bfp12,41,12
dino,-10,802_11ax,-20,sc16,bfp8,41,5
dino,-10,802_11ax,-20,sc16,none,41,6
dino,-10,802_11ax,-20,sc16,sc16,41,5
dino,-10,BPSK,-10,bfp12,bfp12,2,0
dino,-10,BPSK,-10,bfp12,bfp8,2,0
dino,-10,BPSK,-10,bfp12,none,2,0
dino,-10,BPSK,-10,bfp12,sc16,2,0
dino,-10,BPSK,-10,bfp8,bfp12,2,0
dino,-10,BPSK,-10,bfp8,bfp8,2,0
dino,-10,BPSK,-10,bfp8,none,2,0
dino,-10,BPSK,-10,bfp8,sc16,2,0
dino,-10,BPSK,-10,none,bfp12,2,0
dino,-10,BPSK,-10,none,bfp8,2,0
dino,-10,BPSK,-10,none,none,2,0
dino,-10,BPSK,-10,none,sc16,2,0
dino,-10,BPSK,-10,sc16,bfp12,2,0
dino,-10,BPSK,-10,sc16,bfp8,2,0
dino,-10,BPSK,-10,sc16,none,2,0
dino,-10,BPSK,-10,sc16,sc16,2,0
dino,-10,BPSK,-20,bfp12,bfp12,51,0
dino,-10,BPSK,-20,bfp12,bfp8,51,0
dino,-10,BPSK,-20,bfp12,none,51,0
dino,-10,BPSK,-20,bfp12,sc16,51,0
dino,-10,BPSK,-20,bfp8,bfp12,51,0
dino,-10,BPSK,-20,bfp8,bfp8,51,0
dino,-10,BPSK,-20,bfp8,none,51,0
dino,-10,BPSK,-20,bfp8,sc16,51,0
dino,-10,BPSK,-20,none,bfp12,51,0
dino,-10,BPSK,-20,none,bfp8,51,0
dino,-10,BPSK,-20,none,none,51,0
dino,-10,BPSK,-20,none,sc16,51,0
dino,-10,BPSK,-20,sc16,bfp12,51,0
dino,-10,BPSK,-20,sc16,bfp8,51,0
dino,-10,BPSK,-20,sc16,none,51,0
dino,-10,BPSK,-20,sc16,sc16,51,0
dino,-10,BPSK,-5,bfp12,bfp12,2,0
dino,-10,BPSK,-5,bfp12,bfp8,2,0
dino,-10,BPSK,-5,bfp12,none,2,0
dino,-10,BPSK,-5,bfp12,sc16,2,0
dino,-10,BPSK,-5,bfp8,bfp12,2,0
dino,-10,BPSK,-5,bfp8,bfp8,2,0
dino,-10,BPSK,-5,bfp8,none,2,0
dino,-10,BPSK,-5,bfp8,sc16,2,0
dino,-10,BPSK,-5,none,bfp12,2,0
dino,-10,BPSK,-5,none,bfp8,2,0
dino,-10,BPSK,-5,none,none,2,0
dino,-10,BPSK,-5,none,sc16,2,0
dino,-10,BPSK,-5,sc16,bfp12,2,0
dino,-10,BPSK,-5,sc16,bfp8,2,0
dino,-10,BPSK,-5,sc16,none,2,0
dino,-10,BPSK,-5,sc16,sc16,2,0
dino,-10,BPSK,clean,bfp12,bfp12,1,0
dino,-10,BPSK,clean,bfp12,bfp8,1,0
dino,-10,BPSK,clean,bfp12,none,1,0
dino,-10,BPSK,clean,bfp12,sc16,1,0
dino,-10,BPSK,clean,bfp8,bfp12,1,0
dino,-10,BPSK,clean,bfp8,bfp8,1,0
dino,-10,BPSK,clean,bfp8,none,1,0
dino,-10,BPSK,clean,bfp8,sc16,1,0
dino,-10,BPSK,clean,none,bfp12,1,0
dino,-10,BPSK,clean,none,bfp8,1,0
dino,-10,BPSK,clean,none,none,1,0
dino,-10,BPSK,clean,none,sc16,1,0
dino,-10,BPSK,clean,sc16,bfp12,1,0
dino,-10,BPSK,clean,sc16,bfp8,1,0
dino,-10,BPSK,clean,sc16,none,1,0
dino,-10,BPSK,clean,sc16,sc16,1,0
dino,-10,Bluetooth,-5,bfp12,bfp12,1,0
dino,-10,Bluetooth,-5,bfp12,bfp8,1,0
dino,-10,Bluetooth,-5,bfp12,none,1,0
dino,-10,Bluetooth,-5,bfp12,sc16,1,0
dino,-10,Bluetooth,-5,bfp8,bfp12,1,0
dino,-10,Bluetooth,-5,bfp8,bfp8,1,0
dino,-10,Bluetooth,-5,bfp8,none,1,0
dino,-10,Bluetooth,-5,bfp8,sc16,1,0
dino,-10,Bluetooth,-5,none,bfp12,1,0
dino,-10,Bluetooth,-5,none,bfp8,1,0
dino,-10,Bluetooth,-5,none,none,1,0
dino,-10,Bluetooth,-5,none,sc16,1,0
dino,-10,Bluetooth,-5,sc16,bfp12,1,0
dino,-10,Bluetooth,-5,sc16,bfp8,1,0
dino,-10,Bluetooth,-5,sc16,none,1,0
dino,-10,Bluetooth,-5,sc16,sc16,1,0
dino,-10,Broadband_FM,-20,bfp12,bfp12,3,0
dino,-10,Broadband_FM,-20,bfp12,bfp8,3,0
dino,-10,Broadband_FM,-20,bfp12,none,3,0
dino,-10,Broadband_FM,-20,bfp12,sc16,3,0
dino,-10,Broadband_FM,-20,bfp8,bfp12,3,0
dino,-10,Broadband_FM,-20,bfp8,bfp8,3,0
dino,-10,Broadband_FM,-20,bfp8,none,3,0
dino,-10,Broadband_FM,-20,bfp8,sc16,3,0
dino,-10,Broadband_FM,-20,none,bfp12,3,0
dino,-10,Broadband_FM,-20,none,bfp8,3,0
dino,-10,Broadband_FM,-20,none,none,3,0
dino,-10,Broadband_FM,-20,none,sc16,3,0
dino,-10,Broadband_FM,-20,sc16,bfp12,3,0
dino,-10,Broadband_FM,-20,sc16,bfp8,3,0
dino,-10,Broadband_FM,-20,sc16,none,3,0
dino,-10,Broadband_FM,-20,sc16,sc16,3,0
dino,-10,NOISE,clean,bfp12,bfp12,9244,907
dino,-10,NOISE,clean,bfp12,bfp8,9244,836
dino,-10,NOISE,clean,bfp12,none,9244,763
dino,-10,NOISE,clean,bfp12,sc16,9244,740
dino,-10,NOISE,clean,bfp8,bfp12,9244,923
dino,-10,NOISE,clean,bfp8,bfp8,9244,842
dino,-10,NOISE,clean,bfp8,none,9244,746
dino,-10,NOISE,clean,bfp8,sc16,9244,728
dino,-10,NOISE,clean,none,bfp12,9244,907
dino,-10,NOISE,clean,none,bfp8,9244,842
dino,-10,NOISE,clean,none,none,9244,764
dino,-10,NOISE,clean,none,sc16,9244,741
dino,-10,NOISE,clean,sc16,bfp12,9244,907
dino,-10,NOISE,clean,sc16,bfp8,9244,842
dino,-10,NOISE,clean,sc16,none,9244,764
dino,-10,NOISE,clean,sc16,sc16,9244,741
dino,-10,OFDM,-20,bfp12,bfp12,19,5
dino,-10,OFDM,-20,bfp12,bfp8,19,5
dino,-10,OFDM,-20,bfp12,none,19,5
dino,-10,OFDM,-20,bfp12,sc16,19,3
dino,-10,OFDM,-20,bfp8,bfp12,19,4
dino,-10,OFDM,-20,bfp8,bfp8,19,5
dino,-10,OFDM,-20,bfp8,none,19,5
dino,-10,OFDM,-20,bfp8,sc16,19,3
dino,-10,OFDM,-20,none,bfp12,19,5
dino,-10,OFDM,-20,none,bfp8,19,5
dino,-10,OFDM,-20,none,none,19,5
dino,-10,OFDM,-20,none,sc16,19,3
dino,-10,OFDM,-20,sc16,bfp12,19,5
dino,-10,OFDM,-20,sc16,bfp8,19,5
dino,-10,OFDM,-20,sc16,none,19,5
dino,-10,OFDM,-20,sc16,sc16,19,3
dino,-10,QPSK,-20,bfp12,bfp12,39,0
dino,-10,QPSK,-20,bfp12,bfp8,39,1
dino,-10,QPSK,-20,bfp12,none,39,0
dino,-10,QPSK,-20,bfp12,sc16,39,0
dino,-10,QPSK,-20,bfp8,bfp12,39,0
dino,-10,QPSK,-20,bfp8,bfp8,39,1
dino,-10,QPSK,-20,bfp8,none,39,0
dino,-10,QPSK,-20,bfp8,sc16,39,0
dino,-10,QPSK,-20,none,bfp12,39,0
dino,-10,QPSK,-20,none,bfp8,39,1
dino,-10,QPSK,-20,none,none,39,0
dino,-10,QPSK,-20,none,sc16,39,0
dino,-10,QPSK,-20,sc16,bfp12,39,0
dino,-10,QPSK,-20,sc16,bfp8,39,1
dino,-10,QPSK,-20,sc16,none,39,0
dino,-10,QPSK,-20,sc16,sc16,39,0
dino,-10,QPSK,-5,bfp12,bfp12,3,0
dino,-10,QPSK,-5,bfp12,bfp8,3,0
dino,-10,QPSK,-5,bfp12,none,3,0
dino,-10,QPSK,-5,bfp12,sc16,3,0
dino,-10,QPSK,-5,bfp8,bfp12,3,0
dino,-10,QPSK,-5,bfp8,bfp8,3,0
dino,-10,QPSK,-5,bfp8,none,3,0
dino,-10,QPSK,-5,bfp8,sc16,3,0
dino,-10,QPSK,-5,none,bfp12,3,0
dino,-10,QPSK,-5,none,bfp8,3,0
dino,-10,QPSK,-5,none,none,3,0
dino,-10,QPSK,-5,none,sc16,3,0
dino,-10,QPSK,-5,sc16,bfp12,3,0
dino,-10,QPSK,-5,sc16,bfp8,3,0
dino,-10,QPSK,-5,sc16,none,3,0
dino,-10,QPSK,-5,sc16,sc16,3,0
dino,-10,QPSK,0,bfp12,bfp12,1,0
dino,-10,QPSK,0,bfp12,bfp8,1,0
dino,-10,QPSK,0,bfp12,none,1,0
dino,-10,QPSK,0,bfp12,sc16,1,0
dino,-10,QPSK,0,bfp8,bfp12,1,0
dino,-10,QPSK,0,bfp8,bfp8,1,0
dino,-10,QPSK,0,bfp8,none,1,0
dino,-10,QPSK,0,bfp8,sc16,1,0
dino,-10,QPSK,0,none,bfp12,1,0
dino,-10,QPSK,0,none,bfp8,1,0
dino,-10,QPSK,0,none,none,1,0
dino,-10,QPSK,0,none,sc16,1,0
dino,-10,QPSK,0,sc16,bfp12,1,0
dino,-10,QPSK,0,sc16,bfp8,1,0
dino,-10,QPSK,0,sc16,none,1,0
dino,-10,QPSK,0,sc16,sc16,1,0
dino,0,16QAM,-10,bfp12,bfp12,106,0
dino,0,16QAM,-10,bfp12,bfp8,106,0
dino,0,16QAM,-10,bfp12,none,106,0
dino,0,16QAM,-10,bfp12,sc16,106,0
dino,0,16QAM,-10,bfp8,bfp12,106,0
dino,0,16QAM,-10,bfp8,bfp8,106,0
dino,0,16QAM,-10,bfp8,none,106,0
dino,0,16QAM,-10,bfp8,sc16,106,0
dino,0,16QAM,-10,none,bfp12,106,0
dino,0,16QAM,-10,none,bfp8,106,0
dino,0,16QAM,-10,none,none,106,0
dino,0,16QAM,-10,none,sc16,106,0
dino,0,16QAM,-10,sc16,bfp12,106,0
dino,0,16QAM,-10,sc16,bfp8,106,0
dino,0,16QAM,-10,sc16,none,106,0
dino,0,16QAM,-10,sc16,sc16,106,0
dino,0,16QAM,-5,bfp12,bfp12,59,0
dino,0,16QAM,-5,bfp12,bfp8,59,0
dino,0,16QAM,-5,bfp12,none,59,0
dino,0,16QAM,-5,bfp12,sc16,59,0
dino,0,16QAM,-5,bfp8,bfp12,59,0
dino,0,16QAM,-5,bfp8,bfp8,59,0
dino,0,16QAM,-5,bfp8,none,59,0
dino,0,16QAM,-5,bfp8,sc16,59,0
dino,0,16QAM,-5,none,bfp12,59,0
dino,0,16QAM,-5,none,bfp8,59,0
dino,0,16QAM,-5,none,none,59,0
dino,0,16QAM,-5,none,sc16,59,0
dino,0,16QAM,-5,sc16,bfp12,59,0
dino,0,16QAM,-5,sc16,bfp8,59,0
dino,0,16QAM,-5,sc16,none,59,0
dino,0,16QAM,-5,sc16,sc16,59,0
dino,0,16QAM,0,bfp12,bfp12,74,0
dino,0,16QAM,0,bfp12,bfp8,74,0
dino,0,16QAM,0,bfp12,none,74,0
dino,0,16QAM,0,bfp12,sc16,74,0
dino,0,16QAM,0,bfp8,bfp12,74,0
dino,0,16QAM,0,bfp8,bfp8,74,0
dino,0,16QAM,0,bfp8,none,74,0
dino,0,16QAM,0,bfp8,sc16,74,0
dino,0,16QAM,0,none,bfp12,74,0
dino,0,16QAM,0,none,bfp8,74,0
dino,0,16QAM,0,none,none,74,0
dino,0,16QAM,0,none,sc16,74,0
dino,0,16QAM,0,sc16,bfp12,74,0
dino,0,16QAM,0,sc16,bfp8,74,0
dino,0,16QAM,0,sc16,none,74,0
dino,0,16QAM,0,sc16,sc16,74,0
dino,0,16QAM,10,bfp12,bfp12,17,0
dino,0,16QAM,10,bfp12,bfp8,17,0
dino,0,16QAM,10,bfp12,none,17,0
dino,0,16QAM,10,bfp12,sc16,17,0
dino,0,16QAM,10,bfp8,bfp12,17,0
dino,0,16QAM,10,bfp8,bfp8,17,0
dino,0,16QAM,10,bfp8,none,17,0
dino,0,16QAM,10,bfp8,sc16,17,0
dino,0,16QAM,10,none,bfp12,17,0
dino,0,16QAM,10,none,bfp8,17,0
dino,0,16QAM,10,none,none,17,0
dino,0,16QAM,10,none,sc16,17,0
dino,0,16QAM,10,sc16,bfp12,17,0
dino,0,16QAM,10,sc16,bfp8,17,0
dino,0,16QAM,10,sc16,none,17,0
dino,0,16QAM,10,sc16,sc16,17,0
dino,0,16QAM,15,bfp12,bfp12,13,0
dino,0,16QAM,15,bfp12,bfp8,13,0
dino,0,16QAM,15,bfp12,none,13,0
dino,0,16QAM,15,bfp12,sc16,13,0
dino,0,16QAM,15,bfp8,bfp12,13,0
dino,0,16QAM,15,bfp8,bfp8,13,0
dino,0,16QAM,15,bfp8,none,13,0
dino,0,16QAM,15,bfp8,sc16,13,0
dino,0,16QAM,15,none,bfp12,13,0
dino,0,16QAM,15,none,bfp8,13,0
dino,0,16QAM,15,none,none,13,0
dino,0,16QAM,15,none,sc16,13,0
dino,0,16QAM,15,sc16,bfp12,13,0
dino,0,16QAM,15,sc16,bfp8,13,0
dino,0,16QAM,15,sc16,none,13,0
dino,0,16QAM,15,sc16,sc16,13,0
dino,0,16QAM,5,bfp12,bfp12,106,0
dino,0,16QAM,5,bfp12,bfp8,106,0
