lane,variant,class,snr_bin,storage_codec,model_codec,n,correct
dino,15,Broadband_FM,10,bfp12,sc16,5,5
dino,15,Broadband_FM,10,bfp8,bfp12,5,5
dino,15,Broadband_FM,10,bfp8,bfp8,5,5
dino,15,Broadband_FM,10,bfp8,none,5,5
dino,15,Broadband_FM,10,bfp8,sc16,5,5
dino,15,Broadband_FM,10,none,bfp12,5,5
dino,15,Broadband_FM,10,none,bfp8,5,5
dino,15,Broadband_FM,10,none,none,5,5
dino,15,Broadband_FM,10,none,sc16,5,5
dino,15,Broadband_FM,10,sc16,bfp12,5,5
dino,15,Broadband_FM,10,sc16,bfp8,5,5
dino,15,Broadband_FM,10,sc16,none,5,5
dino,15,Broadband_FM,10,sc16,sc16,5,5
dino,15,Broadband_FM,20,bfp12,bfp12,4,4
dino,15,Broadband_FM,20,bfp12,bfp8,4,4
dino,15,Broadband_FM,20,bfp12,none,4,4
dino,15,Broadband_FM,20,bfp12,sc16,4,4
dino,15,Broadband_FM,20,bfp8,bfp12,4,4
dino,15,Broadband_FM,20,bfp8,bfp8,4,4
dino,15,Broadband_FM,20,bfp8,none,4,4
dino,15,Broadband_FM,20,bfp8,sc16,4,4
dino,15,Broadband_FM,20,none,bfp12,4,4
dino,15,Broadband_FM,20,none,bfp8,4,4
dino,15,Broadband_FM,20,none,none,4,4
dino,15,Broadband_FM,20,none,sc16,4,4
dino,15,Broadband_FM,20,sc16,bfp12,4,4
dino,15,Broadband_FM,20,sc16,bfp8,4,4
dino,15,Broadband_FM,20,sc16,none,4,4
dino,15,Broadband_FM,20,sc16,sc16,4,4
dino,15,Broadband_FM,30,bfp12,bfp12,1,1
dino,15,Broadband_FM,30,bfp12,bfp8,1,1
dino,15,Broadband_FM,30,bfp12,none,1,1
dino,15,Broadband_FM,30,bfp12,sc16,1,1
dino,15,Broadband_FM,30,bfp8,bfp12,1,1
dino,15,Broadband_FM,30,bfp8,bfp8,1,1
dino,15,Broadband_FM,30,bfp8,none,1,1
dino,15,Broadband_FM,30,bfp8,sc16,1,1
dino,15,Broadband_FM,30,none,bfp12,1,1
dino,15,Broadband_FM,30,none,bfp8,1,1
dino,15,Broadband_FM,30,none,none,1,1
dino,15,Broadband_FM,30,none,sc16,1,1
dino,15,Broadband_FM,30,sc16,bfp12,1,1
dino,15,Broadband_FM,30,sc16,bfp8,1,1
dino,15,Broadband_FM,30,sc16,none,1,1
dino,15,Broadband_FM,30,sc16,sc16,1,1
dino,15,Broadband_FM,5,bfp12,bfp12,6,4
dino,15,Broadband_FM,5,bfp12,bfp8,6,4
dino,15,Broadband_FM,5,bfp12,none,6,4
dino,15,Broadband_FM,5,bfp12,sc16,6,4
dino,15,Broadband_FM,5,bfp8,bfp12,6,4
dino,15,Broadband_FM,5,bfp8,bfp8,6,4
dino,15,Broadband_FM,5,bfp8,none,6,4
dino,15,Broadband_FM,5,bfp8,sc16,6,4
dino,15,Broadband_FM,5,none,bfp12,6,4
dino,15,Broadband_FM,5,none,bfp8,6,4
dino,15,Broadband_FM,5,none,none,6,4
dino,15,Broadband_FM,5,none,sc16,6,4
dino,15,Broadband_FM,5,sc16,bfp12,6,4
dino,15,Broadband_FM,5,sc16,bfp8,6,4
dino,15,Broadband_FM,5,sc16,none,6,4
dino,15,Broadband_FM,5,sc16,sc16,6,4
dino,15,NOISE,clean,bfp12,bfp12,6294,322
dino,15,NOISE,clean,bfp12,bfp8,6294,331
dino,15,NOISE,clean,bfp12,none,6294,318
dino,15,NOISE,clean,bfp12,sc16,6294,263
dino,15,NOISE,clean,bfp8,bfp12,6294,325
dino,15,NOISE,clean,bfp8,bfp8,6294,334
dino,15,NOISE,clean,bfp8,none,6294,314
dino,15,NOISE,clean,bfp8,sc16,6294,271
dino,15,NOISE,clean,none,bfp12,6294,322
dino,15,NOISE,clean,none,bfp8,6294,334
dino,15,NOISE,clean,none,none,6294,319
dino,15,NOISE,clean,none,sc16,6294,263
dino,15,NOISE,clean,sc16,bfp12,6294,322
dino,15,NOISE,clean,sc16,bfp8,6294,333
dino,15,NOISE,clean,sc16,none,6294,319
dino,15,NOISE,clean,sc16,sc16,6294,263
dino,15,Narrowband_FM,35,bfp12,bfp12,4,0
dino,15,Narrowband_FM,35,bfp12,bfp8,4,0
dino,15,Narrowband_FM,35,bfp12,none,4,0
dino,15,Narrowband_FM,35,bfp12,sc16,4,0
dino,15,Narrowband_FM,35,bfp8,bfp12,4,0
dino,15,Narrowband_FM,35,bfp8,bfp8,4,0
dino,15,Narrowband_FM,35,bfp8,none,4,0
dino,15,Narrowband_FM,35,bfp8,sc16,4,0
dino,15,Narrowband_FM,35,none,bfp12,4,0
dino,15,Narrowband_FM,35,none,bfp8,4,0
dino,15,Narrowband_FM,35,none,none,4,0
dino,15,Narrowband_FM,35,none,sc16,4,0
dino,15,Narrowband_FM,35,sc16,bfp12,4,0
dino,15,Narrowband_FM,35,sc16,bfp8,4,0
dino,15,Narrowband_FM,35,sc16,none,4,0
dino,15,Narrowband_FM,35,sc16,sc16,4,0
dino,15,Narrowband_FM,40,bfp12,bfp12,9,2
dino,15,Narrowband_FM,40,bfp12,bfp8,9,2
dino,15,Narrowband_FM,40,bfp12,none,9,2
dino,15,Narrowband_FM,40,bfp12,sc16,9,2
dino,15,Narrowband_FM,40,bfp8,bfp12,9,2
dino,15,Narrowband_FM,40,bfp8,bfp8,9,2
dino,15,Narrowband_FM,40,bfp8,none,9,2
dino,15,Narrowband_FM,40,bfp8,sc16,9,2
dino,15,Narrowband_FM,40,none,bfp12,9,2
dino,15,Narrowband_FM,40,none,bfp8,9,2
dino,15,Narrowband_FM,40,none,none,9,2
dino,15,Narrowband_FM,40,none,sc16,9,2
dino,15,Narrowband_FM,40,sc16,bfp12,9,2
dino,15,Narrowband_FM,40,sc16,bfp8,9,2
dino,15,Narrowband_FM,40,sc16,none,9,2
dino,15,Narrowband_FM,40,sc16,sc16,9,2
dino,15,OFDM,0,bfp12,bfp12,42,5
dino,15,OFDM,0,bfp12,bfp8,42,5
dino,15,OFDM,0,bfp12,none,42,6
dino,15,OFDM,0,bfp12,sc16,42,4
dino,15,OFDM,0,bfp8,bfp12,42,4
dino,15,OFDM,0,bfp8,bfp8,42,5
dino,15,OFDM,0,bfp8,none,42,5
dino,15,OFDM,0,bfp8,sc16,42,4
dino,15,OFDM,0,none,bfp12,42,5
dino,15,OFDM,0,none,bfp8,42,5
dino,15,OFDM,0,none,none,42,6
dino,15,OFDM,0,none,sc16,42,4
dino,15,OFDM,0,sc16,bfp12,42,5
dino,15,OFDM,0,sc16,bfp8,42,5
dino,15,OFDM,0,sc16,none,42,6
dino,15,OFDM,0,sc16,sc16,42,4
dino,15,OFDM,10,bfp12,bfp12,47,39
dino,15,OFDM,10,bfp12,bfp8,47,36
dino,15,OFDM,10,bfp12,none,47,33
dino,15,OFDM,10,bfp12,sc16,47,42
dino,15,OFDM,10,bfp8,bfp12,47,39
dino,15,OFDM,10,bfp8,bfp8,47,36
dino,15,OFDM,10,bfp8,none,47,33
dino,15,OFDM,10,bfp8,sc16,47,41
dino,15,OFDM,10,none,bfp12,47,39
dino,15,OFDM,10,none,bfp8,47,36
dino,15,OFDM,10,none,none,47,33
dino,15,OFDM,10,none,sc16,47,42
dino,15,OFDM,10,sc16,bfp12,47,39
dino,15,OFDM,10,sc16,bfp8,47,36
dino,15,OFDM,10,sc16,none,47,33
dino,15,OFDM,10,sc16,sc16,47,42
dino,15,OFDM,15,bfp12,bfp12,68,40
dino,15,OFDM,15,bfp12,bfp8,68,27
dino,15,OFDM,15,bfp12,none,68,34
dino,15,OFDM,15,bfp12,sc16,68,41
dino,15,OFDM,15,bfp8,bfp12,68,40
dino,15,OFDM,15,bfp8,bfp8,68,27
dino,15,OFDM,15,bfp8,none,68,34
dino,15,OFDM,15,bfp8,sc16,68,42
dino,15,OFDM,15,none,bfp12,68,40
dino,15,OFDM,15,none,bfp8,68,27
dino,15,OFDM,15,none,none,68,34
dino,15,OFDM,15,none,sc16,68,41
dino,15,OFDM,15,sc16,bfp12,68,40
dino,15,OFDM,15,sc16,bfp8,68,27
dino,15,OFDM,15,sc16,none,68,34
dino,15,OFDM,15,sc16,sc16,68,41
dino,15,OFDM,5,bfp12,bfp12,6,6
dino,15,OFDM,5,bfp12,bfp8,6,6
dino,15,OFDM,5,bfp12,none,6,5
dino,15,OFDM,5,bfp12,sc16,6,6
dino,15,OFDM,5,bfp8,bfp12,6,6
dino,15,OFDM,5,bfp8,bfp8,6,6
dino,15,OFDM,5,bfp8,none,6,5
dino,15,OFDM,5,bfp8,sc16,6,6
dino,15,OFDM,5,none,bfp12,6,6
dino,15,OFDM,5,none,bfp8,6,6
dino,15,OFDM,5,none,none,6,5
dino,15,OFDM,5,none,sc16,6,6
dino,15,OFDM,5,sc16,bfp12,6,6
dino,15,OFDM,5,sc16,bfp8,6,6
dino,15,OFDM,5,sc16,none,6,5
dino,15,OFDM,5,sc16,sc16,6,6
dino,15,QPSK,10,bfp12,bfp12,80,0
dino,15,QPSK,10,bfp12,bfp8,80,0
dino,15,QPSK,10,bfp12,none,80,0
dino,15,QPSK,10,bfp12,sc16,80,0
dino,15,QPSK,10,bfp8,bfp12,80,0
dino,15,QPSK,10,bfp8,bfp8,80,0
dino,15,QPSK,10,bfp8,none,80,0
dino,15,QPSK,10,bfp8,sc16,80,0
dino,15,QPSK,10,none,bfp12,80,0
dino,15,QPSK,10,none,bfp8,80,0
dino,15,QPSK,10,none,none,80,0
dino,15,QPSK,10,none,sc16,80,0
dino,15,QPSK,10,sc16,bfp12,80,0
dino,15,QPSK,10,sc16,bfp8,80,0
dino,15,QPSK,10,sc16,none,80,0
dino,15,QPSK,10,sc16,sc16,80,0
dino,15,QPSK,15,bfp12,bfp12,81,0
dino,15,QPSK,15,bfp12,bfp8,81,0
dino,15,QPSK,15,bfp12,none,81,0
dino,15,QPSK,15,bfp12,sc16,81,0
dino,15,QPSK,15,bfp8,bfp12,81,0
dino,15,QPSK,15,bfp8,bfp8,81,0
dino,15,QPSK,15,bfp8,none,81,0
dino,15,QPSK,15,bfp8,sc16,81,0
dino,15,QPSK,15,none,bfp12,81,0
dino,15,QPSK,15,none,bfp8,81,0
dino,15,QPSK,15,none,none,81,0
dino,15,QPSK,15,none,sc16,81,0
dino,15,QPSK,15,sc16,bfp12,81,0
dino,15,QPSK,15,sc16,bfp8,81,0
dino,15,QPSK,15,sc16,none,81,0
dino,15,QPSK,15,sc16,sc16,81,0
dino,15,QPSK,20,bfp12,bfp12,69,0
dino,15,QPSK,20,bfp12,bfp8,69,0
dino,15,QPSK,20,bfp12,none,69,0
dino,15,QPSK,20,bfp12,sc16,69,0
dino,15,QPSK,20,bfp8,bfp12,69,0
dino,15,QPSK,20,bfp8,bfp8,69,0
dino,15,QPSK,20,bfp8,none,69,0
dino,15,QPSK,20,bfp8,sc16,69,0
dino,15,QPSK,20,none,bfp12,69,0
dino,15,QPSK,20,none,bfp8,69,0
dino,15,QPSK,20,none,none,69,0
dino,15,QPSK,20,none,sc16,69,0
dino,15,QPSK,20,sc16,bfp12,69,0
dino,15,QPSK,20,sc16,bfp8,69,0
dino,15,QPSK,20,sc16,none,69,0
dino,15,QPSK,20,sc16,sc16,69,0
dino,15,QPSK,25,bfp12,bfp12,38,0
dino,15,QPSK,25,bfp12,bfp8,38,0
dino,15,QPSK,25,bfp12,none,38,0
dino,15,QPSK,25,bfp12,sc16,38,0
dino,15,QPSK,25,bfp8,bfp12,38,0
dino,15,QPSK,25,bfp8,bfp8,38,0
dino,15,QPSK,25,bfp8,none,38,0
dino,15,QPSK,25,bfp8,sc16,38,0
dino,15,QPSK,25,none,bfp12,38,0
dino,15,QPSK,25,none,bfp8,38,0
dino,15,QPSK,25,none,none,38,0
dino,15,QPSK,25,none,sc16,38,0
dino,15,QPSK,25,sc16,bfp12,38,0
dino,15,QPSK,25,sc16,bfp8,38,0
dino,15,QPSK,25,sc16,none,38,0
dino,15,QPSK,25,sc16,sc16,38,0
dino,15,QPSK,30,bfp12,bfp12,10,0
dino,15,QPSK,30,bfp12,bfp8,10,0
dino,15,QPSK,30,bfp12,none,10,0
dino,15,QPSK,30,bfp12,sc16,10,0
dino,15,QPSK,30,bfp8,bfp12,10,0
dino,15,QPSK,30,bfp8,bfp8,10,0
dino,15,QPSK,30,bfp8,none,10,0
dino,15,QPSK,30,bfp8,sc16,10,0
dino,15,QPSK,30,none,bfp12,10,0
dino,15,QPSK,30,none,bfp8,10,0
dino,15,QPSK,30,none,none,10,0
dino,15,QPSK,30,none,sc16,10,0
dino,15,QPSK,30,sc16,bfp12,10,0
dino,15,QPSK,30,sc16,bfp8,10,0
dino,15,QPSK,30,sc16,none,10,0
dino,15,QPSK,30,sc16,sc16,10,0
dino,15,QPSK,5,bfp12,bfp12,80,0
dino,15,QPSK,5,bfp12,bfp8,80,0
dino,15,QPSK,5,bfp12,none,80,0
dino,15,QPSK,5,bfp12,sc16,80,1
dino,15,QPSK,5,bfp8,bfp12,80,1
dino,15,QPSK,5,bfp8,bfp8,80,0
dino,15,QPSK,5,bfp8,none,80,0
dino,15,QPSK,5,bfp8,sc16,80,1
dino,15,QPSK,5,none,bfp12,80,0
dino,15,QPSK,5,none,bfp8,80,0
dino,15,QPSK,5,none,none,80,0
dino,15,QPSK,5,none,sc16,80,1
dino,15,QPSK,5,sc16,bfp12,80,0
dino,15,QPSK,5,sc16,bfp8,80,0
dino,15,QPSK,5,sc16,none,80,0
dino,15,QPSK,5,sc16,sc16,80,1
dino,15,QPSK,clean,bfp12,bfp12,18,1
dino,15,QPSK,clean,bfp12,bfp8,18,1
dino,15,QPSK,clean,bfp12,none,18,0
dino,15,QPSK,clean,bfp12,sc16,18,0
dino,15,QPSK,clean,bfp8,bfp12,18,1
dino,15,QPSK,clean,bfp8,bfp8,18,1
dino,15,QPSK,clean,bfp8,none,18,0
dino,15,QPSK,clean,bfp8,sc16,18,0
dino,15,QPSK,clean,none,bfp12,18,1
dino,15,QPSK,clean,none,bfp8,18,1
dino,15,QPSK,clean,none,none,18,0
dino,15,QPSK,clean,none,sc16,18,0
dino,15,QPSK,clean,sc16,bfp12,18,1
dino,15,QPSK,clean,sc16,bfp8,18,1
dino,15,QPSK,clean,sc16,none,18,0
dino,15,QPSK,clean,sc16,sc16,18,0
dino,30,16QAM,20,bfp12,bfp12,82,0
dino,30,16QAM,20,bfp12,bfp8,82,0
dino,30,16QAM,20,bfp12,none,82,0
dino,30,16QAM,20,bfp12,sc16,82,0
dino,30,16QAM,20,bfp8,bfp12,82,0
dino,30,16QAM,20,bfp8,bfp8,82,0
dino,30,16QAM,20,bfp8,none,82,0
dino,30,16QAM,20,bfp8,sc16,82,0
dino,30,16QAM,20,none,bfp12,82,0
dino,30,16QAM,20,none,bfp8,82,0
dino,30,16QAM,20,none,none,82,0
dino,30,16QAM,20,none,sc16,82,0
dino,30,16QAM,20,sc16,bfp12,82,0
dino,30,16QAM,20,sc16,bfp8,82,0
dino,30,16QAM,20,sc16,none,82,0
dino,30,16QAM,20,sc16,sc16,82,0
dino,30,16QAM,25,bfp12,bfp12,80,0
dino,30,16QAM,25,bfp12,bfp8,80,0
dino,30,16QAM,25,bfp12,none,80,0
dino,30,16QAM,25,bfp12,sc16,80,0
dino,30,16QAM,25,bfp8,bfp12,80,0
dino,30,16QAM,25,bfp8,bfp8,80,0
dino,30,16QAM,25,bfp8,none,80,0
dino,30,16QAM,25,bfp8,sc16,80,0
dino,30,16QAM,25,none,bfp12,80,0
dino,30,16QAM,25,none,bfp8,80,0
dino,30,16QAM,25,none,none,80,0
dino,30,16QAM,25,none,sc16,80,0
dino,30,16QAM,25,sc16,bfp12,80,0
dino,30,16QAM,25,sc16,bfp8,80,0
dino,30,16QAM,25,sc16,none,80,0
dino,30,16QAM,25,sc16,sc16,80,0
dino,30,16QAM,30,bfp12,bfp12,81,0
dino,30,16QAM,30,bfp12,bfp8,81,0
dino,30,16QAM,30,bfp12,none,81,0
dino,30,16QAM,30,bfp12,sc16,81,0
dino,30,16QAM,30,bfp8,bfp12,81,0
dino,30,16QAM,30,bfp8,bfp8,81,0
dino,30,16QAM,30,bfp8,none,81,0
dino,30,16QAM,30,bfp8,sc16,81,0
dino,30,16QAM,30,none,bfp12,81,0
dino,30,16QAM,30,none,bfp8,81,0
dino,30,16QAM,30,none,none,81,0
dino,30,16QAM,30,none,sc16,81,0
dino,30,16QAM,30,sc16,bfp12,81,0
dino,30,16QAM,30,sc16,bfp8,81,0
dino,30,16QAM,30,sc16,none,81,0
dino,30,16QAM,30,sc16,sc16,81,0
dino,30,16QAM,35,bfp12,bfp12,72,0
dino,30,16QAM,35,bfp12,bfp8,72,0
dino,30,16QAM,35,bfp12,none,72,0
dino,30,16QAM,35,bfp12,sc16,72,0
dino,30,16QAM,35,bfp8,bfp12,72,0
dino,30,16QAM,35,bfp8,bfp8,72,0
dino,30,16QAM,35,bfp8,none,72,0
dino,30,16QAM,35,bfp8,sc16,72,0
dino,30,16QAM,35,none,bfp12,72,0
dino,30,16QAM,35,none,bfp8,72,0
dino,30,16QAM,35,none,none,72,0
dino,30,16QAM,35,none,sc16,72,0
dino,30,16QAM,35,sc16,bfp12,72,0
dino,30,16QAM,35,sc16,bfp8,72,0
dino,30,16QAM,35,sc16,none,72,0
dino,30,16QAM,35,sc16,sc16,72,0
dino,30,16QAM,40,bfp12,bfp12,40,0
dino,30,16QAM,40,bfp12,bfp8,40,0
dino,30,16QAM,40,bfp12,none,40,0
dino,30,16QAM,40,bfp12,sc16,40,0
dino,30,16QAM,40,bfp8,bfp12,40,0
dino,30,16QAM,40,bfp8,bfp8,40,0
dino,30,16QAM,40,bfp8,none,40,0
dino,30,16QAM,40,bfp8,sc16,40,0
dino,30,16QAM,40,none,bfp12,40,0
dino,30,16QAM,40,none,bfp8,40,0
dino,30,16QAM,40,none,none,40,0
dino,30,16QAM,40,none,sc16,40,0
dino,30,16QAM,40,sc16,bfp12,40,0
dino,30,16QAM,40,sc16,bfp8,40,0
dino,30,16QAM,40,sc16,none,40,0
dino,30,16QAM,40,sc16,sc16,40,0
dino,30,16QAM,45,bfp12,bfp12,13,0
dino,30,16QAM,45,bfp12,bfp8,13,0
dino,30,16QAM,45,bfp12,none,13,0
dino,30,16QAM,45,bfp12,sc16,13,0
dino,30,16QAM,45,bfp8,bfp12,13,0
dino,30,16QAM,45,bfp8,bfp8,13,0
dino,30,16QAM,45,bfp8,none,13,0
dino,30,16QAM,45,bfp8,sc16,13,0
dino,30,16QAM,45,none,bfp12,13,0
dino,30,16QAM,45,none,bfp8,13,0
dino,30,16QAM,45,none,none,13,0
dino,30,16QAM,45,none,sc16,13,0
dino,30,16QAM,45,sc16,bfp12,13,0
dino,30,16QAM,45,sc16,bfp8,13,0
dino,30,16QAM,45,sc16,none,13,0
dino,30,16QAM,45,sc16,sc16,13,0
dino,30,16QAM,clean,bfp12,bfp12,24,0
dino,30,16QAM,clean,bfp12,bfp8,24,0
dino,30,16QAM,clean,bfp12,none,24,0
dino,30,16QAM,clean,bfp12,sc16,24,0
dino,30,16QAM,clean,bfp8,bfp12,24,0
dino,30,16QAM,clean,bfp8,bfp8,24,0
dino,30,16QAM,clean,bfp8,none,24,0
dino,30,16QAM,clean,bfp8,sc16,24,0
dino,30,16QAM,clean,none,bfp12,24,0
dino,30,16QAM,clean,none,bfp8,24,0
dino,30,16QAM,clean,none,none,24,0
dino,30,16QAM,clean,none,sc16,24,0
dino,30,16QAM,clean,sc16,bfp12,24,0
dino,30,16QAM,clean,sc16,bfp8,24,0
dino,30,16QAM,clean,sc16,none,24,0
dino,30,16QAM,clean,sc16,sc16,24,0
dino,30,5G_Downlink,15,bfp12,bfp12,25,1
dino,30,5G_Downlink,15,bfp12,bfp8,25,0
dino,30,5G_Downlink,15,bfp12,none,25,1
dino,30,5G_Downlink,15,bfp12,sc16,25,1
dino,30,5G_Downlink,15,bfp8,bfp12,25,1
dino,30,5G_Downlink,15,bfp8,bfp8,25,0
dino,30,5G_Downlink,15,bfp8,none,25,1
dino,30,5G_Downlink,15,bfp8,sc16,25,1
dino,30,5G_Downlink,15,none,bfp12,25,1
dino,30,5G_Downlink,15,none,bfp8,25,0
dino,30,5G_Downlink,15,none,none,25,1
dino,30,5G_Downlink,15,none,sc16,25,1
dino,30,5G_Downlink,15,sc16,bfp12,25,1
dino,30,5G_Downlink,15,sc16,bfp8,25,0
dino,30,5G_Downlink,15,sc16,none,25,1
dino,30,5G_Downlink,15,sc16,sc16,25,1
dino,30,5G_Downlink,20,bfp12,bfp12,53,27
dino,30,5G_Downlink,20,bfp12,bfp8,53,19
dino,30,5G_Downlink,20,bfp12,none,53,22
dino,30,5G_Downlink,20,bfp12,sc16,53,26
dino,30,5G_Downlink,20,bfp8,bfp12,53,28
dino,30,5G_Downlink,20,bfp8,bfp8,53,19
dino,30,5G_Downlink,20,bfp8,none,53,22
dino,30,5G_Downlink,20,bfp8,sc16,53,25
dino,30,5G_Downlink,20,none,bfp12,53,27
dino,30,5G_Downlink,20,none,bfp8,53,19
dino,30,5G_Downlink,20,none,none,53,22
dino,30,5G_Downlink,20,none,sc16,53,26
dino,30,5G_Downlink,20,sc16,bfp12,53,27
dino,30,5G_Downlink,20,sc16,bfp8,53,19
dino,30,5G_Downlink,20,sc16,none,53,22
dino,30,5G_Downlink,20,sc16,sc16,53,26
dino,30,5G_Downlink,25,bfp12,bfp12,123,54
dino,30,5G_Downlink,25,bfp12,bfp8,123,49
dino,30,5G_Downlink,25,bfp12,none,123,49
dino,30,5G_Downlink,25,bfp12,sc16,123,54
dino,30,5G_Downlink,25,bfp8,bfp12,123,56
dino,30,5G_Downlink,25,bfp8,bfp8,123,49
dino,30,5G_Downlink,25,bfp8,none,123,48
dino,30,5G_Downlink,25,bfp8,sc16,123,54
dino,30,5G_Downlink,25,none,bfp12,123,54
dino,30,5G_Downlink,25,none,bfp8,123,49
dino,30,5G_Downlink,25,none,none,123,50
dino,30,5G_Downlink,25,none,sc16,123,54
dino,30,5G_Downlink,25,sc16,bfp12,123,54
dino,30,5G_Downlink,25,sc16,bfp8,123,49
dino,30,5G_Downlink,25,sc16,none,123,50
dino,30,5G_Downlink,25,sc16,sc16,123,54
dino,30,5G_Downlink,30,bfp12,bfp12,83,16
dino,30,5G_Downlink,30,bfp12,bfp8,83,9
dino,30,5G_Downlink,30,bfp12,none,83,19
dino,30,5G_Downlink,30,bfp12,sc16,83,7
dino,30,5G_Downlink,30,bfp8,bfp12,83,14
dino,30,5G_Downlink,30,bfp8,bfp8,83,8
dino,30,5G_Downlink,30,bfp8,none,83,19
dino,30,5G_Downlink,30,bfp8,sc16,83,7
dino,30,5G_Downlink,30,none,bfp12,83,16
dino,30,5G_Downlink,30,none,bfp8,83,8
dino,30,5G_Downlink,30,none,none,83,19
dino,30,5G_Downlink,30,none,sc16,83,7
dino,30,5G_Downlink,30,sc16,bfp12,83,16
dino,30,5G_Downlink,30,sc16,bfp8,83,9
dino,30,5G_Downlink,30,sc16,none,83,19
dino,30,5G_Downlink,30,sc16,sc16,83,7
dino,30,5G_Downlink,clean,bfp12,bfp12,25,2
dino,30,5G_Downlink,clean,bfp12,bfp8,25,1
dino,30,5G_Downlink,clean,bfp12,none,25,0
dino,30,5G_Downlink,clean,bfp12,sc16,25,1
dino,30,5G_Downlink,clean,bfp8,bfp12,25,2
dino,30,5G_Downlink,clean,bfp8,bfp8,25,1
dino,30,5G_Downlink,clean,bfp8,none,25,0
dino,30,5G_Downlink,clean,bfp8,sc16,25,1
dino,30,5G_Downlink,clean,none,bfp12,25,2
dino,30,5G_Downlink,clean,none,bfp8,25,1
dino,30,5G_Downlink,clean,none,none,25,0
dino,30,5G_Downlink,clean,none,sc16,25,1
dino,30,5G_Downlink,clean,sc16,bfp12,25,2
dino,30,5G_Downlink,clean,sc16,bfp8,25,1
dino,30,5G_Downlink,clean,sc16,none,25,0
dino,30,5G_Downlink,clean,sc16,sc16,25,1
dino,30,802_11ax,15,bfp12,bfp12,27,27
dino,30,802_11ax,15,bfp12,bfp8,27,27
dino,30,802_11ax,15,bfp12,none,27,27
dino,30,802_11ax,15,bfp12,sc16,27,27
dino,30,802_11ax,15,bfp8,bfp12,27,27
dino,30,802_11ax,15,bfp8,bfp8,27,27
dino,30,802_11ax,15,bfp8,none,27,27
dino,30,802_11ax,15,bfp8,sc16,27,27
dino,30,802_11ax,15,none,bfp12,27,27
dino,30,802_11ax,15,none,bfp8,27,27
dino,30,802_11ax,15,none,none,27,27
dino,30,802_11ax,15,none,sc16,27,27
dino,30,802_11ax,15,sc16,bfp12,27,27
dino,30,802_11ax,15,sc16,bfp8,27,27
dino,30,802_11ax,15,sc16,none,27,27
dino,30,802_11ax,15,sc16,sc16,27,27
dino,30,802_11ax,20,bfp12,bfp12,50,50
dino,30,802_11ax,20,bfp12,bfp8,50,50
dino,30,802_11ax,20,bfp12,none,50,50
dino,30,802_11ax,20,bfp12,sc16,50,50
dino,30,802_11ax,20,bfp8,bfp12,50,50
dino,30,802_11ax,20,bfp8,bfp8,50,50
dino,30,802_11ax,20,bfp8,none,50,50
dino,30,802_11ax,20,bfp8,sc16,50,50
dino,30,802_11ax,20,none,bfp12,50,50
dino,30,802_11ax,20,none,bfp8,50,50
dino,30,802_11ax,20,none,none,50,50
dino,30,802_11ax,20,none,sc16,50,50
dino,30,802_11ax,20,sc16,bfp12,50,50
dino,30,802_11ax,20,sc16,bfp8,50,50
dino,30,802_11ax,20,sc16,none,50,50
dino,30,802_11ax,20,sc16,sc16,50,50
dino,30,802_11ax,25,bfp12,bfp12,32,32
dino,30,802_11ax,25,bfp12,bfp8,32,32
dino,30,802_11ax,25,bfp12,none,32,32
dino,30,802_11ax,25,bfp12,sc16,32,32
dino,30,802_11ax,25,bfp8,bfp12,32,32
dino,30,802_11ax,25,bfp8,bfp8,32,32
dino,30,802_11ax,25,bfp8,none,32,32
dino,30,802_11ax,25,bfp8,sc16,32,32
dino,30,802_11ax,25,none,bfp12,32,32
dino,30,802_11ax,25,none,bfp8,32,32
dino,30,802_11ax,25,none,none,32,32
dino,30,802_11ax,25,none,sc16,32,32
dino,30,802_11ax,25,sc16,bfp12,32,32
dino,30,802_11ax,25,sc16,bfp8,32,32
dino,30,802_11ax,25,sc16,none,32,32
dino,30,802_11ax,25,sc16,sc16,32,32
dino,30,802_11ax,clean,bfp12,bfp12,16,14
dino,30,802_11ax,clean,bfp12,bfp8,16,15
dino,30,802_11ax,clean,bfp12,none,16,14
dino,30,802_11ax,clean,bfp12,sc16,16,15
dino,30,802_11ax,clean,bfp8,bfp12,16,14
dino,30,802_11ax,clean,bfp8,bfp8,16,15
dino,30,802_11ax,clean,bfp8,none,16,14
dino,30,802_11ax,clean,bfp8,sc16,16,15
dino,30,802_11ax,clean,none,bfp12,16,14
dino,30,802_11ax,clean,none,bfp8,16,15
dino,30,802_11ax,clean,none,none,16,14
dino,30,802_11ax,clean,none,sc16,16,15
dino,30,802_11ax,clean,sc16,bfp12,16,14
dino,30,802_11ax,clean,sc16,bfp8,16,15
dino,30,802_11ax,clean,sc16,none,16,14
dino,30,802_11ax,clean,sc16,sc16,16,15
dino,30,BPSK,20,bfp12,bfp12,78,0
dino,30,BPSK,20,bfp12,bfp8,78,0
dino,30,BPSK,20,bfp12,none,78,0
dino,30,BPSK,20,bfp12,sc16,78,0
dino,30,BPSK,20,bfp8,bfp12,78,0
dino,30,BPSK,20,bfp8,bfp8,78,0
dino,30,BPSK,20,bfp8,none,78,0
dino,30,BPSK,20,bfp8,sc16,78,0
dino,30,BPSK,20,none,bfp12,78,0
dino,30,BPSK,20,none,bfp8,78,0
dino,30,BPSK,20,none,none,78,0
