detector,file_stem,frame_number,attenuation_db,precision,recall,f1,iou,fp_area_fraction,mask_present
coherent_power,attenuation_dB_0,1,0,0.0,nan,nan,0.0,0.001186370849609375,True
cuda_dino,attenuation_dB_0,1,0,0.0,nan,nan,0.0,0.0028753280639648438,True
finetuned_dino,attenuation_dB_0,1,0,nan,nan,nan,nan,0.0,True
coherent_power,attenuation_dB_0,7,0,0.4199096565243331,0.02204221073513108,0.04188572477912821,0.02139084797510277,0.022629146255262304,True
cuda_dino,attenuation_dB_0,7,0,0.9675075444610471,0.2511553951697547,0.39878908557348836,0.2490546885363433,0.006268215661462493,True
finetuned_dino,attenuation_dB_0,7,0,0.99730846459328,0.999956155381748,0.9986305550206355,0.9972648556709403,0.002005509832384329,True
coherent_power,attenuation_dB_0,12,0,0.4682616672641768,0.01933145861990911,0.03713006014017938,0.018916210079018805,0.01711987887182412,True
cuda_dino,attenuation_dB_0,12,0,0.948137066863508,0.27285829952464696,0.42376420894364014,0.26884569640411626,0.011639915264594451,True
finetuned_dino,attenuation_dB_0,12,0,0.9948116455411158,0.9999952116452787,0.9973966937663494,0.994806906744742,0.004067367363289472,True
coherent_power,attenuation_dB_0,18,0,0.19760057812766346,0.06753547696766496,0.10066566984365778,0.05300050035707593,0.08305075142848196,True
cuda_dino,attenuation_dB_0,18,0,0.7444619698562916,0.31370960992157076,0.44141210863759645,0.28321284355144466,0.03260994353663161,True
finetuned_dino,attenuation_dB_0,18,0,0.9905422210662354,0.999996717754813,0.9952470163185773,0.9905390006128517,0.0028915049493042346,True
coherent_power,attenuation_dB_0,23,0,0.06641573473739176,0.5112975897358591,0.11756074735761753,0.0624512834571407,0.1675011915743107,True
cuda_dino,attenuation_dB_0,23,0,0.18152499675934675,0.9734100463963284,0.3059882139082202,0.1806293299848635,0.10228840821676854,True
finetuned_dino,attenuation_dB_0,23,0,0.8378237978237978,0.9995142622648778,0.9115544421361358,0.8374828079827097,0.0045090499141793245,True
coherent_power,attenuation_dB_0,29,0,0.48861379404162697,0.03599768447435243,0.06705520526345463,0.034690698589037595,0.034194266220445683,True
cuda_dino,attenuation_dB_0,29,0,0.9560627920212836,0.23165358838324515,0.3729432045317106,0.22921339044244754,0.009662299784530278,True
finetuned_dino,attenuation_dB_0,29,0,0.9973076923076923,1.0,0.9986520315809745,0.9973076923076923,0.002450140335480754,True
coherent_power,attenuation_dB_0,35,0,0.2783290642017869,0.06448574487956456,0.10471109503571752,0.05524809160305343,0.05273093020373531,True
cuda_dino,attenuation_dB_0,35,0,0.7774662868309415,0.3000472545428799,0.43299061386429594,0.2763165413655019,0.02708475816248346,True
finetuned_dino,attenuation_dB_0,35,0,0.9893604294237096,1.0,0.9946517632406248,0.9893604294237096,0.0033914906150695786,True
coherent_power,attenuation_dB_0,40,0,0.13931579362590124,0.11082063166015128,0.12344514983934672,0.06578286258394125,0.09745936097494441,True
cuda_dino,attenuation_dB_0,40,0,0.25791083983281093,0.17973416028139091,0.21184013624157622,0.11846823124433764,0.07361673922999926,True
finetuned_dino,attenuation_dB_0,40,0,0.9764396419016874,1.0,0.9880793940787166,0.9764396419016874,0.003434756405524371,True
coherent_power,attenuation_dB_0,46,0,0.4701924167391222,0.022054071306036146,0.04213196980847026,0.02151931037167437,0.018768183142113915,True
cuda_dino,attenuation_dB_0,46,0,0.9632289109233211,0.2518260923529751,0.3992678060255249,0.24942823510919623,0.007260534923350419,True
finetuned_dino,attenuation_dB_0,46,0,0.9972283372675914,1.0,0.9986122454399978,0.9972283372675914,0.0020991171655557303,True
coherent_power,attenuation_dB_0,51,0,0.11642294893640234,0.01941998576192439,0.03328744355718094,0.016925423823696807,0.0815936467485517,True
cuda_dino,attenuation_dB_0,51,0,0.8037909726781656,0.1815178002708446,0.29615562805032214,0.17381612600652996,0.024529951254204138,True
finetuned_dino,attenuation_dB_0,51,0,0.9917821745385437,1.0,0.995874134447779,0.9917821745385437,0.004587142370319885,True
coherent_power,attenuation_dB_0,57,0,0.22245473249917647,0.07653825286877936,0.11389094327363714,0.06038407104163567,0.06911544177508794,True
cuda_dino,attenuation_dB_0,57,0,0.3232658804217191,0.1229413163683929,0.17813577710952036,0.0977766481559745,0.06649187416475938,True
finetuned_dino,attenuation_dB_0,57,0,0.991912117078925,0.9998959510077888,0.995888033102999,0.9918097442664524,0.0021063424524968895,True
coherent_power,attenuation_dB_0,63,0,0.5339214901758446,0.2554059226832235,0.34552635222643935,0.20884367224066525,0.07756703573233732,True
cuda_dino,attenuation_dB_0,63,0,0.7613725589984441,0.30955013087128797,0.4401493730764906,0.2821740527454199,0.03375349196661286,True
finetuned_dino,attenuation_dB_0,63,0,0.9761619450776077,0.996873425073786,0.9864089781031504,0.9731824343285617,0.008469416979763176,True
coherent_power,attenuation_dB_0,68,0,0.5245916722484341,0.10587461069776183,0.17619003768146219,0.09660548046216323,0.10130568000997553,True
cuda_dino,attenuation_dB_0,68,0,0.9201229270588369,0.24106805296515907,0.38204265505075347,0.23612653092701752,0.022095942267439717,True
finetuned_dino,attenuation_dB_0,68,0,0.9960161278390175,0.9999970289359357,0.998002608580592,0.9960131804004427,0.00422312862857721,True
coherent_power,attenuation_dB_0,74,0,0.40263781328208104,0.09883056500196777,0.15870561056707272,0.08619241522587275,0.06356689911323239,True
cuda_dino,attenuation_dB_0,74,0,0.7617655109566613,0.28258675842861036,0.41224566218574216,0.25964070912459286,0.03831349006706535,True
finetuned_dino,attenuation_dB_0,74,0,0.9946439661499664,1.0,0.9973147920426262,0.9946439661499664,0.002334491191383436,True
coherent_power,attenuation_dB_0,80,0,0.85032581253555,0.037888233002939926,0.07254409604439209,0.03763722733968335,0.005009947078070868,True
cuda_dino,attenuation_dB_0,80,0,0.6766308913366353,0.0895334712294512,0.15814129552970704,0.08585962383861986,0.03214395940469844,True
finetuned_dino,attenuation_dB_0,80,0,0.9980456546435672,1.0,0.9990218715213585,0.9980456546435672,0.0014710185300236085,True
coherent_power,attenuation_dB_0,85,0,0.3460979508792327,0.023859704409807832,0.044641837717168106,0.02283051697549357,0.032487343296788124,True
cuda_dino,attenuation_dB_0,85,0,0.9490310399861859,0.3403895844851126,0.5010626869673787,0.33427861366239403,0.013174589317630905,True
finetuned_dino,attenuation_dB_0,85,0,0.9963781728421951,1.0,0.9981858010636088,0.9963781728421951,0.0026196241420255056,True
coherent_power,attenuation_dB_0,91,0,0.5317034645892678,0.06868954518664534,0.12166187334669935,0.06477101839138436,0.03788995009011077,True
cuda_dino,attenuation_dB_0,91,0,0.808921857132971,0.24315452163619886,0.3739139309302723,0.2299471953192402,0.03597234328325801,True
finetuned_dino,attenuation_dB_0,91,0,0.9966837465075181,0.9999960377797699,0.99833714476433,0.9966798105231149,0.0020838697069616384,True
coherent_power,attenuation_dB_0,96,0,0.28939909386419316,0.08101497985856868,0.12659163581372804,0.06757289987264148,0.05483891060884325,True
cuda_dino,attenuation_dB_0,96,0,0.895794660950689,0.5946020610986171,0.7147645238913717,0.5561350718823136,0.01906789764791873,True
finetuned_dino,attenuation_dB_0,96,0,0.9970105515123248,0.999951455796531,0.9984788381355104,0.9969622971088143,0.0008265424006275591,True
coherent_power,attenuation_dB_0,102,0,0.044819108741783555,0.06142741871126205,0.051825169724513266,0.026601909089024007,0.15776935004204962,True
cuda_dino,attenuation_dB_0,102,0,0.947008197008197,0.9596761751066264,0.9533001031433622,0.9107673613098023,0.006471688899005021,True
finetuned_dino,attenuation_dB_0,102,0,0.9635731373889269,0.9999964531775096,0.9814469773776527,0.9635698442589055,0.00455589287870579,True
coherent_power,attenuation_dB_0,108,0,0.3660810231536668,0.11056241986142122,0.1698326259527844,0.09279622637858419,0.0524669112590416,True
cuda_dino,attenuation_dB_0,108,0,0.6566101625002578,0.3105386553921404,0.42165762539830853,0.26715219218816033,0.044505832842868756,True
finetuned_dino,attenuation_dB_0,108,0,0.9916008652375007,0.9999769449178618,0.9957712912263785,0.9915781958100249,0.002321181314101614,True
coherent_power,attenuation_dB_0,113,0,0.07933739070804045,0.48977377960047624,0.13655459860206923,0.07328070814397239,0.12563166549533628,True
cuda_dino,attenuation_dB_0,113,0,0.1767283481442177,0.9781805353441814,0.29936947004172937,0.1760343971062752,0.10072492516319832,True
finetuned_dino,attenuation_dB_0,113,0,0.8479769650736669,0.9999823609824933,0.9177279993524757,0.8479642814407083,0.0039627682647122185,True
coherent_power,attenuation_dB_0,119,0,0.44451938807726527,0.060362937643477686,0.10629207930984784,0.056129077852254135,0.03135488553621199,True
cuda_dino,attenuation_dB_0,119,0,0.813180620530193,0.24558832509006534,0.37724503994535924,0.23247196849280113,0.02345304719231461,True
finetuned_dino,attenuation_dB_0,119,0,0.9936036454702708,0.9999818115442128,0.9967825255329165,0.9935856889478671,0.0026758890783222743,True
coherent_power,attenuation_dB_0,124,0,0.12846057066583913,0.09822886141090702,0.11132883855325651,0.058945591390285934,0.10261262113912042,True
cuda_dino,attenuation_dB_0,124,0,0.22904100481003978,0.15757844328496892,0.18670517049376079,0.1029645965210195,0.08166939227394884,True
finetuned_dino,attenuation_dB_0,124,0,0.9791562268165339,0.999955685798013,0.9894466604430111,0.9791137406727778,0.00327755192777104,True
coherent_power,attenuation_dB_0,130,0,0.5305040621447915,0.061372646214369775,0.11001763597543457,0.05821093258307493,0.02494832528267309,True
cuda_dino,attenuation_dB_0,130,0,0.8452401773289635,0.26943172218875855,0.40861264510105033,0.25676504456515337,0.022659495761643302,True
finetuned_dino,attenuation_dB_0,130,0,0.9946176610633284,0.9999915162518316,0.9972973495653519,0.9946092683938224,0.002485619314458956,True
coherent_power,attenuation_dB_0,136,0,0.1297688670417054,0.579615326157545,0.21206005128548625,0.11860580185478399,0.1103568482115221,True
cuda_dino,attenuation_dB_0,136,0,0.21942019909876176,0.9392383900073231,0.35573528988484154,0.21634916062872084,0.09486627852465235,True
finetuned_dino,attenuation_dB_0,136,0,0.8862478569679157,0.9999723653848811,0.9396817565067226,0.8862261516984644,0.0036440784020192484,True
coherent_power,attenuation_dB_0,141,0,0.07002810035251808,0.5188000166433198,0.12339960874743097,0.06575699830535886,0.09606889020010331,True
cuda_dino,attenuation_dB_0,141,0,0.12164087736651702,0.9756036670781265,0.21631146242871443,0.1212719922073668,0.09823162041928306,True
finetuned_dino,attenuation_dB_0,141,0,0.7973011834974008,0.9997642196363434,0.8871276405904832,0.7971512933084145,0.003544146829713666,True
coherent_power,attenuation_dB_0,147,0,0.2356810742061258,0.2954854394311706,0.2622165516441455,0.15089138516783138,0.0288082353477421,True
cuda_dino,attenuation_dB_0,147,0,0.27648396555516574,0.993967951063941,0.4326274723977511,0.27602083408950673,0.07819540954335912,True
finetuned_dino,attenuation_dB_0,147,0,0.9734071669530902,0.9994510377999686,0.9862571986869852,0.9728870058653638,0.000820847079607628,True
coherent_power,attenuation_dB_0,152,0,0.6669027774905383,0.10403570155359508,0.17999282746995282,0.09889676820324797,0.0160939944232467,True
cuda_dino,attenuation_dB_0,152,0,0.8093351679317001,0.43551717407330337,0.5662990755161221,0.39499107927267724,0.031777551394613,True
finetuned_dino,attenuation_dB_0,152,0,0.995983258220262,0.9999645113781361,0.99796991416005,0.9959480541180591,0.0012490488493012571,True
coherent_power,attenuation_dB_0,158,0,0.6811235271872521,0.09139336147722603,0.1611619620083268,0.08764336971424809,0.02660534395963293,True
cuda_dino,attenuation_dB_0,158,0,0.8676496251191953,0.27702515140691275,0.41996342314146196,0.2657934818043529,0.02627590145059878,True
finetuned_dino,attenuation_dB_0,158,0,0.9971397390743588,0.9999940302843674,0.9985648450117062,0.9971338034596748,0.0017836295841229127,True
coherent_power,attenuation_dB_0,164,0,0.2614793550137824,0.14949978535565633,0.19023402216645846,0.10511526047925066,0.08253352754256611,True
cuda_dino,attenuation_dB_0,164,0,0.7745386727713576,0.5004596188663045,0.6080405464300418,0.43682346125140387,0.028474925484215787,True
finetuned_dino,attenuation_dB_0,164,0,0.9882890049458721,1.0,0.9941100136725614,0.9882890049458721,0.0023161913587228158,True
coherent_power,attenuation_dB_0,169,0,0.45160894923748984,0.2113894475805552,0.2879806852020118,0.16821111929802757,0.03489670067005791,True
cuda_dino,attenuation_dB_0,169,0,0.7028895971545462,0.5303749414303427,0.6045662017503621,0.4332460647783505,0.030478036461237996,True
finetuned_dino,attenuation_dB_0,169,0,0.9891723159388303,0.9999585629635769,0.9945361947378182,0.9891317713604676,0.0014880546134242978,True
coherent_power,attenuation_dB_0,175,0,0.7317500738116327,0.21162538757518023,0.3283038393873538,0.1963896592709984,0.012940907314545858,True
cuda_dino,attenuation_dB_0,175,0,0.7806650272723196,0.5340906058713971,0.6342560501551505,0.4644033387277336,0.02503100138248807,True
finetuned_dino,attenuation_dB_0,175,0,0.9946283075453171,1.0,0.9973069205754461,0.9946283075453171,0.0009008872671335494,True
coherent_power,attenuation_dB_0,181,0,0.5969441555702619,0.22235134296863043,0.3240133380569818,0.19332691924966997,0.02460754707514819,True
cuda_dino,attenuation_dB_0,181,0,0.7627081490141557,0.523089362843293,0.6205713046167937,0.4498755946528998,0.026674566821613597,True
finetuned_dino,attenuation_dB_0,181,0,0.9961760578583765,0.9999444690496216,0.9980567063233763,0.9961209507785758,0.0006291412266655537,True
coherent_power,attenuation_dB_0,186,0,0.44017872841597616,0.17082353145050536,0.24612964565414666,0.1403351422437073,0.046437067609225696,True
cuda_dino,attenuation_dB_0,186,0,0.6815033301617507,0.34909541076929074,0.46169217084144437,0.30012989733919965,0.03487207576278108,True
