stem,atten,det,iou,recall,precision
attenuation_dB_0,0,coherent_power,0.2037360290544515,0.2304974030295577,0.6369960916805774
attenuation_dB_0,0,cuda_dino,0.49590367781587913,0.8185990827413591,0.5571274542625889
attenuation_dB_0,0,finetuned_dino,0.9964894575599207,1.0,0.9964894575599207
attenuation_dB_0,0,coherent_power,0.20884367224066525,0.2554059226832235,0.5339214901758446
attenuation_dB_0,0,cuda_dino,0.2821740527454199,0.30955013087128797,0.7613725589984441
attenuation_dB_0,0,finetuned_dino,0.9731824343285617,0.996873425073786,0.9761619450776077
attenuation_dB_0,0,coherent_power,0.08977620720613616,0.10722350503430299,0.3555561328367272
attenuation_dB_0,0,cuda_dino,0.23148604562452862,0.26028550892386754,0.6765992108947435
attenuation_dB_0,0,finetuned_dino,0.9889616942317637,0.999994124524821,0.9889674407794069
attenuation_dB_0,0,coherent_power,0.20611687846163074,0.26848114006242435,0.47015461949605497
attenuation_dB_0,0,cuda_dino,0.46538768529076396,0.5932059895426451,0.683531160375976
attenuation_dB_0,0,finetuned_dino,0.9907623741346476,0.9999927329014254,0.990769507695077
attenuation_dB_0,0,coherent_power,0.588148826348261,0.8577203405402095,0.6517338148580789
attenuation_dB_0,0,cuda_dino,0.5795940427133176,0.9622496478226251,0.5930796396369189
attenuation_dB_0,0,finetuned_dino,0.9938756749846283,0.999920377289153,0.9939543378995433
attenuation_dB_0,0,coherent_power,0.38905413444378345,0.9106905500348124,0.4044868010457957
attenuation_dB_0,0,cuda_dino,0.16513118679870747,0.9994936388379011,0.16514500256225229
attenuation_dB_0,0,finetuned_dino,0.9564873417721519,0.9948097980884866,0.9612844036697248
attenuation_dB_5,5,coherent_power,0.5497200097387916,0.9201793199813694,0.577246165084003
attenuation_dB_5,5,cuda_dino,0.21310438094765444,1.0,0.21310438094765444
attenuation_dB_5,5,finetuned_dino,0.984297994269341,1.0,0.984297994269341
attenuation_dB_5,5,coherent_power,0.17765536494533554,0.2031562999213936,0.5859749976687164
attenuation_dB_5,5,cuda_dino,0.26241293217036554,0.2821677612394452,0.7893925716788829
attenuation_dB_5,5,finetuned_dino,0.980515180662663,0.9996900119177422,0.9808133893919793
attenuation_dB_5,5,coherent_power,0.05842928089598315,0.06376828068779435,0.4110272118535404
attenuation_dB_5,5,cuda_dino,0.23399595749129687,0.25177340235906326,0.7681950763642845
attenuation_dB_5,5,finetuned_dino,0.9893626326937376,0.9999984211864152,0.9893641781019845
attenuation_dB_5,5,coherent_power,0.13891367927885048,0.15470835704467087,0.5763887544291053
attenuation_dB_5,5,cuda_dino,0.32151285590215034,0.3640996058071339,0.7332483836446556
attenuation_dB_5,5,finetuned_dino,0.9897248206666135,0.9999194464149757,0.9898037400005144
attenuation_dB_5,5,coherent_power,0.7180386772779176,0.8105016975382435,0.8629029085548863
attenuation_dB_5,5,cuda_dino,0.6262856676993315,0.834860610592117,0.7148419107315339
attenuation_dB_5,5,finetuned_dino,0.9936305732484076,0.9989088806680606,0.9947101857062465
attenuation_dB_5,5,coherent_power,0.40168857756797455,0.6568811908582812,0.5083508200933579
attenuation_dB_5,5,cuda_dino,0.15057355055307423,0.9766199988932543,0.15111828472590894
attenuation_dB_5,5,finetuned_dino,0.9745899870522227,0.9996679763156439,0.9749055585536968
attenuation_dB_10,10,coherent_power,0.16719782311070208,0.1722549645037252,0.850635838150289
attenuation_dB_10,10,cuda_dino,0.5220282757366886,0.6806183901722432,0.6913941736028537
attenuation_dB_10,10,finetuned_dino,0.9965236056508907,0.9999005050830198,0.9966224296339508
attenuation_dB_10,10,coherent_power,0.14392297627763898,0.15694417542730513,0.6343291632378187
attenuation_dB_10,10,cuda_dino,0.3054335511952342,0.3357298312131394,0.7719330851759574
attenuation_dB_10,10,finetuned_dino,0.98237788432724,0.999938994538486,0.9824367657636058
attenuation_dB_10,10,coherent_power,0.09308936880994315,0.09908511176822832,0.606048973273003
attenuation_dB_10,10,cuda_dino,0.1926316286983647,0.20967217533917332,0.7032816474153015
attenuation_dB_10,10,finetuned_dino,0.9880810415974088,0.9999969133325514,0.9880840551421252
attenuation_dB_10,10,coherent_power,0.17879106718920124,0.19726130560963961,0.6562960246890946
attenuation_dB_10,10,cuda_dino,0.4846098986028802,0.596603725065207,0.7207929536925873
attenuation_dB_10,10,finetuned_dino,0.9905892799307114,0.9999889790970207,0.990600094617708
attenuation_dB_10,10,coherent_power,0.7535435063839361,0.8205579714583205,0.902217283701197
attenuation_dB_10,10,cuda_dino,0.6159282450630631,0.9717798738286274,0.6271455760371396
attenuation_dB_10,10,finetuned_dino,0.9948863913403871,0.9997733815152814,0.9951107995244918
attenuation_dB_10,10,coherent_power,0.5817246373678635,0.851636179505032,0.6473262610954752
attenuation_dB_10,10,cuda_dino,0.20415757062330978,0.9914868029622128,0.20451607849281267
attenuation_dB_10,10,finetuned_dino,0.9742414860681115,0.9958858155579468,0.9781784271059993
attenuation_dB_15,15,coherent_power,0.025835884914936266,0.02590895318891077,0.901584791275411
attenuation_dB_15,15,cuda_dino,0.1641974288548467,0.17968631646720193,0.6557483258812878
attenuation_dB_15,15,finetuned_dino,0.9972033412612912,0.9999990531737616,0.9972042828008157
attenuation_dB_15,15,coherent_power,0.13518638371314054,0.19917359519547653,0.2961691542288557
attenuation_dB_15,15,cuda_dino,0.16384379658770912,0.3309383207588203,0.24499817327281395
attenuation_dB_15,15,finetuned_dino,0.9485868529691965,0.9994144905231109,0.9491143061402812
attenuation_dB_15,15,coherent_power,0.04745755606163373,0.04867658238053919,0.6545784973772252
attenuation_dB_15,15,cuda_dino,0.17080361915582687,0.1798465803073001,0.7725693929048538
attenuation_dB_15,15,finetuned_dino,0.9903482596144779,0.999995392802021,0.9903527783481243
attenuation_dB_15,15,coherent_power,0.14074383131724347,0.15167053471657443,0.6614331026528258
attenuation_dB_15,15,cuda_dino,0.25333186843222977,0.31254339158550376,0.5721362172892106
attenuation_dB_15,15,finetuned_dino,0.9922026587064023,0.9999752048082836,0.9922270699383283
attenuation_dB_15,15,coherent_power,0.7481016914084726,0.7769859731496752,0.9526602664383224
attenuation_dB_15,15,cuda_dino,0.6705259404062414,0.9646588912825086,0.6874124294650445
attenuation_dB_15,15,finetuned_dino,0.994667037159743,0.9999838833584932,0.9946829828733268
attenuation_dB_15,15,coherent_power,0.6181340408704747,0.7859668472442989,0.7432436577809135
attenuation_dB_15,15,cuda_dino,0.20436463826639018,0.9095111428293379,0.20860614267432517
attenuation_dB_15,15,finetuned_dino,0.9770922030882633,0.997599506925747,0.9793949044585988
attenuation_dB_20,20,coherent_power,0.07091951144304391,0.07162113561071459,0.8786318961188033
attenuation_dB_20,20,cuda_dino,0.3413052763773232,0.4100426606939746,0.6706198816426565
attenuation_dB_20,20,finetuned_dino,0.9967760365654587,0.9998508776290128,0.9969242430868355
attenuation_dB_20,20,coherent_power,0.0804199208044097,0.08320554026071601,0.7060653427684821
attenuation_dB_20,20,cuda_dino,0.34323582037783423,0.37354656174628553,0.8087955613535985
attenuation_dB_20,20,finetuned_dino,0.9813263943514169,0.999585315260217,0.9817260647541641
attenuation_dB_20,20,coherent_power,0.07338588208995737,0.07449951480545752,0.8307766463818762
attenuation_dB_20,20,cuda_dino,0.23946326466904022,0.2619412968634172,0.7361837050175086
attenuation_dB_20,20,finetuned_dino,0.9885717337891251,1.0,0.9885717337891251
attenuation_dB_20,20,coherent_power,0.11012881089667287,0.11324940595237107,0.799867144685299
attenuation_dB_20,20,cuda_dino,0.2945388430962215,0.33385476745697823,0.7143757694857468
attenuation_dB_20,20,finetuned_dino,0.9916906929726141,0.9999972337712274,0.9916934134364799
attenuation_dB_20,20,coherent_power,0.7628449978718993,0.7907983754185899,0.9557146128788578
attenuation_dB_20,20,cuda_dino,0.632490230134607,0.9557906824146981,0.6515515795359239
attenuation_dB_20,20,finetuned_dino,0.9937038681859832,0.999903837451353,0.9937988418507899
attenuation_dB_20,20,coherent_power,0.5715884294746265,0.8061232541623925,0.6626881162428646
attenuation_dB_20,20,cuda_dino,0.1940566136276592,0.8795865225282096,0.19935260032906502
attenuation_dB_20,20,finetuned_dino,0.9699731903485255,0.9992109208553618,0.9707167497125335
attenuation_dB_25,25,coherent_power,0.029108061110333726,0.02920567011618489,0.8970075191228413
attenuation_dB_25,25,cuda_dino,0.2355023709226191,0.2686821466971827,0.6560079238620214
attenuation_dB_25,25,finetuned_dino,0.9961479198767335,0.9998109208717959,0.9963356159568035
attenuation_dB_25,25,coherent_power,0.06196144736884971,0.0638386069257647,0.678165837656665
attenuation_dB_25,25,cuda_dino,0.2974364948085331,0.32138817377177936,0.7996417327108891
attenuation_dB_25,25,finetuned_dino,0.9788336315553386,0.9997700809919076,0.9790540207405459
attenuation_dB_25,25,coherent_power,0.06309920544310493,0.06350565406179033,0.907910058777864
attenuation_dB_25,25,cuda_dino,0.17262820170596918,0.1943955845762702,0.6065581706346685
attenuation_dB_25,25,finetuned_dino,0.991443805026428,0.9999883641328273,0.9914552428929887
attenuation_dB_25,25,coherent_power,0.06024121597668098,0.06107587590885606,0.815093019769824
attenuation_dB_25,25,cuda_dino,0.14234720720616548,0.1536338018325633,0.659590542068293
attenuation_dB_25,25,finetuned_dino,0.9920316357432394,0.9999700479980831,0.9920611140688648
attenuation_dB_25,25,coherent_power,0.6450062912865681,0.655182330151376,0.9764864156963593
attenuation_dB_25,25,cuda_dino,0.656853298643937,0.8672145225066901,0.7303040291685026
attenuation_dB_25,25,finetuned_dino,0.9947356920081845,1.0,0.9947356920081845
attenuation_dB_25,25,coherent_power,0.6991628005246803,0.8205393119123876,0.8253743907381811
attenuation_dB_25,25,cuda_dino,0.24283837457989613,0.8211695423080897,0.2563977663867661
attenuation_dB_25,25,finetuned_dino,0.9694116704392941,0.9999793367083376,0.9694310897435897
attenuation_dB_30,30,coherent_power,0.03205198979635922,0.03220469782472387,0.8711251435132032
attenuation_dB_30,30,cuda_dino,0.2834440637520334,0.33549124583996526,0.6462748610494276
attenuation_dB_30,30,finetuned_dino,0.9942040861865657,0.997127285004582,0.9970599583301181
attenuation_dB_30,30,coherent_power,0.04400348561014575,0.04450230151641859,0.7969876962240136
attenuation_dB_30,30,cuda_dino,0.3061079130006916,0.3161309886215303,0.9061450655113757
attenuation_dB_30,30,finetuned_dino,0.9824658248958268,0.9992703375636381,0.9831711438727347
attenuation_dB_30,30,coherent_power,0.05016402989806394,0.05055678975002053,0.8659015662257904
attenuation_dB_30,30,cuda_dino,0.17830149046200977,0.19214304458524722,0.7122394576412145
attenuation_dB_30,30,finetuned_dino,0.9881489311373126,0.999996995198327,0.9881518651583083
attenuation_dB_30,30,coherent_power,0.04596490941371337,0.046306248250786115,0.8617950233077276
attenuation_dB_30,30,cuda_dino,0.11668248613540508,0.12417713451131374,0.6590853768903813
attenuation_dB_30,30,finetuned_dino,0.991483834559728,0.9999729533315616,0.9915104239541066
attenuation_dB_30,30,coherent_power,0.5150810353774145,0.5255646695836335,0.962717171369072
attenuation_dB_30,30,cuda_dino,0.6532050704123767,0.9736209806598652,0.6649736129594787
attenuation_dB_30,30,finetuned_dino,0.9949346099328715,0.999838742622475,0.9950942891534038
attenuation_dB_30,30,coherent_power,0.19139109551080732,0.7311220889202541,0.20588235294117646
attenuation_dB_30,30,cuda_dino,0.10728668034343895,0.9964714184897672,0.10732745515354211
attenuation_dB_30,30,finetuned_dino,0.8359882005899705,1.0,0.8359882005899705
attenuation_dB_35,35,coherent_power,0.0635667997800043,0.06545505582011495,0.6878412295909127
attenuation_dB_35,35,cuda_dino,0.17769703498145417,0.2079674780733073,0.5497188305433339
attenuation_dB_35,35,finetuned_dino,0.9963346418056919,0.9999507541994357,0.9963835320673242
attenuation_dB_35,35,coherent_power,0.034001796386499465,0.03420806516333488,0.8493733696824681
attenuation_dB_35,35,cuda_dino,0.2619089634092074,0.26964631576286663,0.901259078752485
attenuation_dB_35,35,finetuned_dino,0.9787449149261224,0.9963972802269848,0.9822208898509648
attenuation_dB_35,35,coherent_power,0.032746579477077285,0.03311241734657526,0.7477252103107449
attenuation_dB_35,35,cuda_dino,0.1366457346406669,0.1454917498631494,0.6920644761314321
attenuation_dB_35,35,finetuned_dino,0.9818708350367675,0.9990626819244237,0.9827761573554707
attenuation_dB_35,35,coherent_power,0.0763129963212722,0.07801167217489692,0.778008334333682
attenuation_dB_35,35,cuda_dino,0.1445398117752555,0.17406122217369324,0.4601077248244358
attenuation_dB_35,35,finetuned_dino,0.9751772573904761,0.9999174625228268,0.9752557609096703
attenuation_dB_35,35,coherent_power,0.3704097953780817,0.4072809528430041,0.8035968554437438
attenuation_dB_35,35,cuda_dino,0.13887595492488958,0.23785294973801668,0.25022568862944
attenuation_dB_35,35,finetuned_dino,0.9898117240219976,0.9998241315738405,0.989984087429069
attenuation_dB_35,35,coherent_power,0.6106562287814036,0.9677194759161972,0.6233538549353773
attenuation_dB_35,35,cuda_dino,0.22200922232008705,0.9492689410722197,0.22467491610738255
attenuation_dB_35,35,finetuned_dino,0.9726331360946746,0.9987973922400152,0.9737735266892934
attenuation_dB_40,40,coherent_power,0.0252429774832504,0.025456489743353877,0.7506017969147313
attenuation_dB_40,40,cuda_dino,0.03717542565503715,0.03992617974427375,0.3504754022245998
attenuation_dB_40,40,finetuned_dino,0.9071759751195692,0.912961089136234,0.9930634247620477
attenuation_dB_40,40,coherent_power,0.03215231657792992,0.03240666334097963,0.8037896044729758
attenuation_dB_40,40,cuda_dino,0.22985191147368358,0.23782454148307552,0.8727170370597314
attenuation_dB_40,40,finetuned_dino,0.9816438952652464,0.9975620905073899,0.9840045295449866
attenuation_dB_40,40,coherent_power,0.044445813736811855,0.04510279547635219,0.7531639872540371
attenuation_dB_40,40,cuda_dino,0.1358347115075461,0.15212544605797945,0.5591695693696478
attenuation_dB_40,40,finetuned_dino,0.9593577625922977,0.9922744375087594,0.9665774025182992
attenuation_dB_40,40,coherent_power,0.04404518015942181,0.04461918903615711,0.7739472049066966
attenuation_dB_40,40,cuda_dino,0.10809462176193524,0.12140537792209292,0.49645366612010755
attenuation_dB_40,40,finetuned_dino,0.919667395456233,0.9531760246825131,0.9631819243344232
