frame,t_ms,occ_coherent_power,occ_cuda_dino,occ_cuda_dino_finetuned,occ_cuda_dino_finetuned_rt,rt_native_iou
1,0.0,0.003955841064453125,0.12868309020996094,0.0374603271484375,0.0140533447265625,0.02318533111077436
2,21.333333333333332,0.011270523071289062,0.11906051635742188,0.0733184814453125,0.0053272247314453125,0.0365780079440897
3,42.666666666666664,0.003543853759765625,0.12847137451171875,0.02886962890625,0.01273345947265625,0.061617833154871994
4,64.0,0.0047931671142578125,0.12829208374023438,0.048549652099609375,0.011440277099609375,0.046829755366949576
5,85.33333333333333,0.0062618255615234375,0.13175010681152344,0.03514862060546875,0.024318695068359375,0.04951694886727034
6,106.66666666666666,0.011074066162109375,0.1302509307861328,0.0764923095703125,0.026462554931640625,0.05580440097799511
7,128.0,0.027841567993164062,0.11704635620117188,0.015321731567382812,0.011135101318359375,0.6328428487345498
8,149.33333333333331,0.0045299530029296875,0.12693214416503906,0.05147361755371094,0.004451751708984375,0.021210643633324047
9,170.66666666666666,0.004581451416015625,0.12604331970214844,0.08505821228027344,0.005023956298828125,0.009080420476882317
10,192.0,0.0054187774658203125,0.12908935546875,0.03626823425292969,0.0215911865234375,0.039261365582925076
11,213.33333333333331,0.009828567504882812,0.11901473999023438,0.05431175231933594,0.0119476318359375,0.04268091364768737
12,234.66666666666666,0.003692626953125,0.12729454040527344,0.047760009765625,0.0204925537109375,0.018935618895754434
13,256.0,0.0049915313720703125,0.13013648986816406,0.049163818359375,0.010046005249023438,0.03854002877120204
14,277.3333333333333,0.0043811798095703125,0.13070106506347656,0.05632781982421875,0.00577545166015625,0.02518891687657431
15,298.66666666666663,0.004673004150390625,0.12592697143554688,0.010791778564453125,0.0044994354248046875,0.10854535398230089
16,320.0,0.010553359985351562,0.12061882019042969,0.10609054565429688,0.0043125152587890625,0.028811631296434537
17,341.3333333333333,0.0034275054931640625,0.12810897827148438,0.04912376403808594,0.016782760620117188,0.012512087203680371
18,362.66666666666663,0.0051288604736328125,0.12562942504882812,0.03372383117675781,0.009632110595703125,0.05348287528386708
19,384.0,0.0041332244873046875,0.12768936157226562,0.06551361083984375,0.03405952453613281,0.02072538860103627
20,405.3333333333333,0.00476837158203125,0.12936019897460938,0.04398536682128906,0.022167205810546875,0.04015714971209213
21,426.66666666666663,0.010744094848632812,0.12377548217773438,0.046131134033203125,0.0069484710693359375,0.04975480950584685
22,448.0,0.003376007080078125,0.1249542236328125,0.019624710083007812,0.01622772216796875,0.016713543920380786
23,469.3333333333333,0.005619049072265625,0.1312541961669922,0.06436347961425781,0.0153961181640625,0.034843722933009975
24,490.66666666666663,0.0053997039794921875,0.12607765197753906,0.06209754943847656,0.019392013549804688,0.03731760021365965
25,512.0,0.0041332244873046875,0.128173828125,0.06927299499511719,0.01338958740234375,0.018016536690782674
26,533.3333333333333,0.0096282958984375,0.11837577819824219,0.022489547729492188,0.00298309326171875,0.1110648918469218
27,554.6666666666666,0.0037174224853515625,0.1274089813232422,0.03431129455566406,0.0177001953125,0.02518891687657431
28,576.0,0.00624847412109375,0.12773513793945312,0.038288116455078125,0.019176483154296875,0.2582167467112132
29,597.3333333333333,0.0058994293212890625,0.12802886962890625,0.02239227294921875,0.013784408569335938,0.09629501184902607
30,618.6666666666666,0.0076885223388671875,0.1298809051513672,0.032703399658203125,0.0038204193115234375,0.03676231727125068
31,640.0,0.006237030029296875,0.13361740112304688,0.054859161376953125,0.016845703125,0.05278781259626425
32,661.3333333333333,0.0038776397705078125,0.1299457550048828,0.0457611083984375,0.018476486206054688,0.02231058766391452
33,682.6666666666666,0.0043506622314453125,0.12610626220703125,0.049533843994140625,0.008787155151367188,0.03745801241814542
34,704.0,0.005023956298828125,0.1280670166015625,0.014532089233398438,0.016681671142578125,0.06626270523846756
35,725.3333333333333,0.009595870971679688,0.11976814270019531,0.060482025146484375,0.0036296844482421875,0.04583074051026758
36,746.6666666666666,0.003620147705078125,0.1261615753173828,0.014902114868164062,0.016054153442382812,0.009642301710730949
37,768.0,0.004467010498046875,0.12649154663085938,0.017656326293945312,0.007671356201171875,0.10843071786310518
38,789.3333333333333,0.0037288665771484375,0.1294384002685547,0.04996299743652344,0.018369674682617188,0.018536418945812247
39,810.6666666666666,0.0051403045654296875,0.12650680541992188,0.013040542602539062,0.016912460327148438,0.10708494888967218
40,832.0,0.01093292236328125,0.12009429931640625,0.06092643737792969,0.018117904663085938,0.05474536153317554
41,853.3333333333333,0.003650665283203125,0.1275768280029297,0.08516883850097656,0.013092041015625,0.02562213816444356
42,874.6666666666666,0.00435638427734375,0.1279735565185547,0.07156944274902344,0.009969711303710938,0.027101052328095718
43,896.0,0.003963470458984375,0.1265392303466797,0.05149269104003906,0.006908416748046875,0.021450493728315985
44,917.3333333333333,0.006092071533203125,0.12766456604003906,0.03451347351074219,0.0058841705322265625,0.05007436787307883
45,938.6666666666666,0.010789871215820312,0.12619972229003906,0.06641960144042969,0.018751144409179688,0.034567443584634636
46,960.0,0.00342559814453125,0.12874984741210938,0.023702621459960938,0.018550872802734375,0.023280521040232805
