col_bin,freq_ghz,offline_occ_pct,loopback_occ_pct
162,2.232076,0.00000,0.24766
163,2.232556,0.00000,0.24687
164,2.233037,0.00000,0.24609
165,2.233517,0.00000,0.24531
166,2.233998,0.00000,0.24375
167,2.234478,0.00000,0.24219
168,2.234959,0.00000,0.24141
169,2.235439,0.00000,0.23906
170,2.235920,0.00000,0.23828
171,2.236400,0.00000,0.23672
172,2.236881,0.00000,0.23594
173,2.237361,0.00000,0.23594
174,2.237842,0.00000,0.22578
175,2.238322,0.00000,0.22109
176,2.238803,0.00000,0.21719
177,2.239283,0.00000,0.21406
178,2.239764,0.00000,0.20937
179,2.240244,0.00000,0.20547
180,2.240724,0.00000,0.20156
181,2.241205,0.00000,0.19922
182,2.241685,0.00000,0.19531
183,2.242166,0.00000,0.18984
184,2.242646,0.00000,0.18906
185,2.243127,0.00000,0.18516
186,2.243607,0.00000,0.18125
187,2.244088,0.00000,0.17578
188,2.244568,0.00000,0.17344
189,2.245049,0.00000,0.16953
190,2.245529,0.00000,0.16484
191,2.246010,0.00000,0.16250
192,2.246490,0.00000,0.15781
193,2.246971,0.00000,0.15313
194,2.247451,0.00000,0.14766
195,2.247931,0.00000,0.14688
196,2.248412,0.00000,0.14609
197,2.248892,0.00000,0.14531
198,2.249373,0.00000,0.14453
199,2.249853,0.00000,0.14375
200,2.250334,0.00000,0.14297
201,2.250814,0.00000,0.14141
202,2.251295,0.00000,0.13984
203,2.251775,0.00000,0.13906
204,2.252256,0.00000,0.13750
205,2.252736,0.00000,0.13203
206,2.253217,0.00000,0.12813
207,2.253697,0.00000,0.12188
208,2.254178,0.00000,0.11797
209,2.254658,0.00000,0.11563
210,2.255139,0.00000,0.11406
211,2.255619,0.00000,0.11250
212,2.256099,0.00000,0.11172
213,2.256580,0.00000,0.10781
214,2.257060,0.00000,0.10625
215,2.257541,0.00000,0.10547
216,2.258021,0.00000,0.10313
217,2.258502,0.00000,0.10078
218,2.258982,0.00000,0.10000
219,2.259463,0.00000,0.09766
220,2.259943,0.00000,0.09141
221,2.260424,0.00000,0.08516
222,2.260904,0.00000,0.07891
223,2.261385,0.00000,0.06484
224,2.261865,0.00000,0.04922
225,2.262346,0.00000,0.03750
226,2.262826,0.00000,0.03438
227,2.263307,0.00000,0.03203
228,2.263787,0.00000,0.03125
229,2.264267,0.00000,0.02813
230,2.264748,0.00000,0.02500
231,2.265228,0.00000,0.01875
232,2.265709,0.00000,0.01719
233,2.266189,0.00000,0.01641
234,2.266670,0.00000,0.01484
235,2.267150,0.00000,0.01328
236,2.267631,0.00000,0.00859
237,2.268111,0.00000,0.00547
238,2.268592,0.00000,0.00469
239,2.269072,0.00000,0.00313
240,2.269553,0.00000,0.00156
241,2.270033,0.00000,0.00156
242,2.270514,0.00000,0.00156
243,2.270994,0.00000,0.00156
244,2.271474,0.00000,0.00078
245,2.271955,0.00000,0.00078
246,2.272435,0.00000,0.00000
247,2.272916,0.00000,0.00000
248,2.273396,0.00000,0.00000
249,2.273877,0.00000,0.00000
250,2.274357,0.00000,0.00000
251,2.274838,0.00000,0.00000
252,2.275318,0.00000,0.00000
253,2.275799,0.00000,0.00000
254,2.276279,0.00000,0.00000
255,2.276760,0.00000,0.00000
256,2.277240,0.00000,0.00000
257,2.277721,0.00000,0.00000
258,2.278201,0.00000,0.00000
259,2.278682,0.00000,0.00000
260,2.279162,0.00000,0.00000
261,2.279642,0.00000,0.00000
262,2.280123,0.00000,0.00000
263,2.280603,0.00000,0.00000
264,2.281084,0.00000,0.00000
265,2.281564,0.00000,0.00000
266,2.282045,0.00000,0.00000
267,2.282525,0.00000,0.00000
268,2.283006,0.00000,0.00000
269,2.283486,0.00000,0.00000
270,2.283967,0.00000,0.00000
271,2.284447,0.00000,0.00000
272,2.284928,0.00000,0.00000
273,2.285408,0.00000,0.00000
274,2.285889,0.00000,0.00000
275,2.286369,0.00000,0.00000
276,2.286850,0.00000,0.00000
277,2.287330,0.00000,0.00000
278,2.287810,0.00000,0.00000
279,2.288291,0.00000,0.00000
280,2.288771,0.00000,0.00000
281,2.289252,0.00000,0.00000
282,2.289732,0.00000,0.00000
283,2.290213,0.00000,0.00000
284,2.290693,0.00000,0.00000
285,2.291174,0.00000,0.00000
286,2.291654,0.00000,0.00000
287,2.292135,0.00000,0.00000
288,2.292615,0.00000,0.00000
289,2.293096,0.00000,0.00000
290,2.293576,0.00000,0.00000
291,2.294057,0.00000,0.00000
292,2.294537,0.00000,0.00000
293,2.295017,0.00000,0.00000
294,2.295498,0.00000,0.00000
295,2.295978,0.00000,0.00000
296,2.296459,0.00000,0.00000
297,2.296939,0.00000,0.00000
298,2.297420,0.00000,0.00000
299,2.297900,0.00000,0.00000
300,2.298381,0.00000,0.00000
301,2.298861,0.00000,0.00000
